src/Evolutionary/TSP/gr666.tsp
Mutation swap, OX
Tournament
pop_size 100
gen 1000
px 0.7
pm 0.7
tour_size 5
best	 worst	 average
55284.22955361592	61037.0206258139	58346.688025769006	 
55001.77513877158	55805.53627718232	55291.016601939446	 
54861.57116264362	55299.50024571771	55020.362809288294	 
54637.716506413475	55097.10883937551	54876.60915963602	 
54295.414958306996	55013.36158224727	54642.029969234194	 
54009.07618197656	54509.31014029483	54291.76394614603	 
53745.31651668245	54448.18140470274	54018.42793485327	 
53524.416687311816	54055.51850930576	53770.879858414635	 
53202.18878204182	54029.9427741499	53551.926585278416	 
53050.82700428498	53547.554019778814	53229.32797220336	 
52738.4104252952	53411.50143659033	53084.272001738864	 
52477.59898175924	53110.043137396715	52765.18174880716	 
52168.65632685126	53034.3712936514	52507.45305802242	 
51770.93082430117	52628.931326078105	52188.39532879638	 
51478.199521819086	52130.39116238023	51786.781028255355	 
51314.356191662635	51852.10319697033	51515.632797117585	 
51156.013893992604	51732.56176102575	51371.3568790678	 
50805.53096246749	51574.49720223334	51179.45472022162	 
50542.13704492808	51425.91213053383	50854.44372704523	 
50357.09824916427	51446.94165935701	50585.04577365119	 
50118.52564003134	50786.1190913561	50386.80119737937	 
49937.52946221008	50486.61670293573	50149.997717926904	 
49618.319932236984	50288.25701053259	49968.45818469154	 
49386.99842992597	50317.667041552886	49647.67204312529	 
49104.75728070396	50001.60801785809	49419.39771761235	 
48729.118820435935	49596.050335912965	49149.38447036115	 
48552.584759841375	49446.18457766168	48779.4434390089	 
48378.47749709334	49184.47423525214	48609.892600176645	 
48101.94328580558	48864.74727669985	48437.783928426616	 
47952.93031605652	48713.98080528811	48153.07869711738	 
47729.05313699595	48609.21858120215	48003.58335386362	 
47519.22419616255	48220.66861718164	47780.10980292137	 
47219.40442177211	47947.86775065454	47563.72773229553	 
46789.10596210323	47992.799296959776	47258.49108329213	 
46556.537824420186	47285.22989092732	46831.49976386811	 
46424.650010126774	46910.30237014471	46584.83602806339	 
46074.728705902475	46803.464569910015	46468.313570198305	 
45868.03386331559	46656.41216901788	46110.065286254874	 
45658.48177464795	46335.71168125297	45913.855348318204	 
45481.01024154543	46058.09459524593	45684.50837321542	 
45326.47666329018	45997.333132471766	45537.68033961832	 
45167.08503876885	45886.44238947979	45416.119614850795	 
45041.54391038636	45397.130418034336	45189.548145307424	 
44763.02460740577	45428.057183407334	45077.68488163291	 
44597.91999978856	45191.41039849599	44828.06437889724	 
44487.81996567775	45064.71318764466	44650.306976185755	 
44385.62603002502	45029.28900638446	44551.339503792886	 
44096.58734084558	44972.043472512305	44428.43460681921	 
43988.73435703467	44759.46409645787	44178.14939486966	 
43871.99386399638	44368.11182203216	44033.817037150584	 
43765.45184825381	44341.840991076606	43930.80710497639	 
43591.53571540509	44169.790900163294	43838.40951372235	 
43166.494543854875	44142.480345414566	43657.20162050876	 
43087.41862757844	43600.25630753799	43213.377476859634	 
42918.515111307854	43911.429053244436	43148.83616814592	 
42806.58474784976	43688.1489376019	42989.73976463345	 
42716.74626992228	43310.451743198704	42878.76294518508	 
42609.672099422525	43255.7792481885	42790.10487562685	 
42263.08824182071	43067.108929268856	42656.294654411875	 
42103.76296119758	42921.875953845505	42330.885936423605	 
41997.01544568726	42655.49106198895	42174.52887134305	 
41827.24049152632	42756.215321556534	42082.549030215225	 
41723.08015983243	42267.916088995364	41899.88884937329	 
41633.359495616925	42458.80523923924	41806.24479604873	 
41392.69199129173	42465.14332536316	41689.81387135496	 
41239.812327085165	42012.61417596346	41465.08728043235	 
41100.34326791043	41676.53324851494	41301.074821583476	 
40904.52447696227	41700.89658463807	41174.10246988719	 
40752.37316817568	41338.28624064537	40987.315913165774	 
40640.265629605514	41172.59827026843	40810.545073170404	 
40490.92216501384	41241.937358447874	40712.96356513424	 
40261.96346493946	41150.31303419618	40558.38358108427	 
40207.00660076749	40668.36145472819	40327.47649014692	 
40137.66260416119	40696.82071736996	40292.0299997262	 
40015.672821838365	40881.747115722654	40211.49649167958	 
39816.61707255518	40585.77684009795	40096.817412189885	 
39627.85795445742	40545.629064295914	39890.92089729308	 
39559.7539282422	40106.38162862053	39703.55788101872	 
39429.5813141798	40076.36802463638	39642.99892394267	 
39364.24986962564	39913.93292988255	39524.81558671944	 
39136.63657779425	40043.94562126886	39469.834296877474	 
38948.579695922555	39675.82015237399	39230.91711412825	 
38814.14714251107	39664.22915802046	39042.61617513136	 
38648.65411560624	39417.64172166205	38902.24361293288	 
38501.37071286296	39070.637342198526	38715.23503935484	 
38345.25205101535	39182.07263603746	38579.29834754387	 
38276.083839601175	39022.80838394996	38417.037299130265	 
38093.54871960419	38650.58758707137	38349.69835487886	 
37897.80218275699	38696.272302429046	38156.558975700944	 
37785.50888350909	38358.50026022654	37970.59517826506	 
37657.752242516406	38277.918524656016	37853.96946070317	 
37551.265745557794	38296.849988045054	37763.52849406333	 
37478.79411492721	38133.732284576334	37655.43487435474	 
37401.46032561635	38022.94128417404	37555.10098256711	 
37305.18819156983	38007.776477123894	37470.12366250166	 
37207.5327100976	37888.79736160243	37404.41865377126	 
37137.736102215065	37878.25803598252	37282.135653142934	 
36979.4619487667	37786.80777055266	37214.6277575233	 
36828.85154843508	37598.14261950772	37081.63412472018	 
36705.92025330689	37422.48006573451	36910.94719259798	 
36588.052256787174	37244.6855880838	36817.33118349225	 
36493.011379248564	37222.10281542462	36689.99296469038	 
36322.48085636486	37076.78163575096	36608.587152707994	 
36237.7187463287	36883.64648992177	36416.0561242801	 
36144.27459971159	36986.16504299041	36349.446484369146	 
36126.14384158406	36824.0537758784	36250.84128339962	 
35905.98915007905	36678.45034633225	36226.85641457071	 
35726.1929545048	36267.32654784252	35958.14818141024	 
35561.6804424225	36545.33785595399	35834.26400950108	 
35512.270249188725	36198.91670079761	35665.42718114625	 
35388.86204751131	35988.70350650467	35592.81365613125	 
35247.31140164725	36011.956231400545	35463.98407800871	 
35209.0901796407	35975.30891231548	35330.033556644536	 
35146.59140457199	35737.67996677188	35282.226939759894	 
35124.959035510554	35779.42729083373	35258.6785038728	 
35027.03944700558	35944.851710128634	35258.36833137293	 
34977.43810749047	35740.41687400937	35154.50381037772	 
34911.09650707088	35651.90640583685	35071.36670956537	 
34849.931613328685	35526.547340921585	35002.84582207065	 
34793.69778976727	35469.83365652115	34959.30528088342	 
34760.9656597389	35685.38361034654	34892.38405259556	 
34660.040911228585	35479.88454608763	34860.14014967389	 
34519.75278901556	35106.01016360204	34740.57836344541	 
34433.863750008066	35309.275757718744	34636.331548884744	 
34343.56231784257	35030.83839459056	34517.07805437061	 
34266.48296353483	34845.204439323636	34427.04974747764	 
34088.33782186264	35049.13134175433	34379.841774248845	 
34033.2933693399	34825.1472284616	34217.71850621194	 
33956.34780081561	34676.759180687	34131.9906269793	 
33832.11861133263	34752.98321775776	34075.47698190016	 
33716.89764159969	34461.03283682223	33949.33120562551	 
33654.022983329734	34402.31992505609	33832.64629207951	 
33604.2716346108	34428.17392068462	33774.343034987425	 
33511.350687032624	34383.13648137348	33716.2884532039	 
33446.6476453982	34257.98829668502	33608.21435060141	 
33370.08309484529	33949.205096422	33528.62223177786	 
33300.477850148214	34034.13025863644	33493.090150539574	 
33224.50009459425	33929.610141747675	33397.615655246096	 
33181.27122327498	33948.17177825703	33345.34146674904	 
33132.92602762681	33715.028215184015	33291.801593581964	 
33085.264471252216	33765.12653528894	33239.82877142392	 
33045.01706136619	33885.08683417924	33198.276997307294	 
32883.38993771963	33709.9687255369	33138.406095348546	 
32831.65464617503	33471.68621545682	32983.2164641789	 
32691.18809114611	33453.17948544978	32937.90109202527	 
32632.62263645627	33541.4733043645	32789.649353482775	 
32466.629471058735	33393.8383617563	32772.5051675411	 
32369.309884047543	33307.95552293771	32557.733258427637	 
32332.149938414026	33079.79951977301	32498.083886629214	 
32269.904043336133	32936.73007202968	32415.39927561243	 
32211.762575293305	33012.34117601768	32361.952425895044	 
32162.339647767094	32804.38880034563	32309.515695712675	 
32053.715750106072	32834.43423236447	32269.833390710774	 
31964.431348642825	32597.276991368264	32176.90571078348	 
31852.084597813147	32716.282177975867	32070.87713599026	 
31759.40950673478	32432.437614811253	31963.91533290474	 
31710.605840974145	32427.86422267905	31853.56872459339	 
31615.161104919123	32378.466177446295	31816.789161183708	 
31478.721639973555	32344.77405661867	31713.90936482937	 
31356.795740637735	32213.56179954217	31591.15837573783	 
31243.741873170606	32074.994126130274	31472.975595773067	 
31210.2394525385	31976.633511425935	31370.443802813345	 
31176.329376357004	31971.024863817333	31350.030614195788	 
31151.82041027632	31950.480313711898	31280.250599050432	 
31105.68403140444	31981.132347897994	31268.576764441746	 
31019.87183703181	31721.48332003389	31231.945340460537	 
30917.92110723728	31526.934107198722	31132.529616288215	 
30856.952625392896	31705.799244295136	31012.45440876845	 
30788.52714160912	31604.122275079346	30992.71514401811	 
30712.383390968374	31312.28150239269	30915.12486024891	 
30671.245775728865	31211.04049803484	30806.74752974786	 
30613.295785362396	31535.14447170599	30814.486352629414	 
30560.993789972777	31215.66072087702	30732.73836488629	 
30451.595764250902	31390.30572759445	30669.044569859292	 
30430.408909757203	31203.785285437207	30582.294090901934	 
30367.433152688587	31159.025133499057	30523.39917761025	 
30302.039698089375	31176.05384565016	30483.628758685994	 
30235.441097075567	31279.796626732976	30426.140260224525	 
30213.959020908183	30670.955278727262	30318.918820485284	 
30150.678345018976	30922.72125962568	30322.499236967662	 
30111.38170796317	30943.581163609462	30266.211319538746	 
30036.5320897289	30778.27184411074	30206.379657287962	 
29985.87409995972	30828.30695693274	30146.706698403992	 
29954.867212032827	30699.88904212373	30119.053613378146	 
29932.429355255896	30575.287238728895	30095.942617469147	 
29883.3816272552	30660.23162908739	30075.278521787826	 
29822.705563050753	30697.50862034728	30017.413119160385	 
29786.860578387365	30572.864888113545	29931.760733189494	 
29776.87141072537	30584.174547943687	29900.207609757254	 
29705.71651617512	30606.941363741065	29896.929292157878	 
29643.29943156144	30462.558033354748	29827.858505938853	 
29575.68100921618	30283.216425619616	29739.48377438824	 
29523.815759939396	30477.394744301313	29681.497553676283	 
29500.32446011099	30072.217849350418	29641.33922336498	 
29444.42598103106	30222.07892763379	29624.07093951738	 
29419.231683512284	30070.38292315162	29564.630060514814	 
29375.183356894533	30248.54362113396	29554.15994019561	 
29355.16561556655	30082.37900047645	29514.433489065614	 
29312.079242976277	30019.84035259125	29491.539847572614	 
29287.710944889524	30103.317514784078	29439.035638425412	 
29247.608895143567	29864.627298773623	29392.20867583247	 
29208.72507874165	29902.760057287884	29381.910417589635	 
29180.479578930437	29971.54066817235	29319.382749084023	 
29065.373919074184	29907.53365966859	29340.09121236816	 
28988.107029586645	29784.766532190166	29162.95223415319	 
28860.893029352083	29831.295545521243	29115.685406697594	 
28860.32505702861	29634.865821168954	28977.359370287013	 
28844.60310176884	29374.570281785025	28966.703349642103	 
28798.581218703934	29590.4644749818	28972.190961764787	 
28774.99253199427	29622.67535290788	28915.870822009907	 
28728.971616258754	29482.929209102065	28868.733533222417	 
28664.055305484988	29459.15314384001	28842.60290495642	 
28609.56662755543	29392.54543474255	28813.83309930786	 
28530.78109406765	29479.13787316992	28736.46713246939	 
28521.160827281536	29436.33598287577	28660.819266296574	 
28492.290357801736	29122.59282404463	28637.02442936208	 
28454.41553878169	29225.964441478838	28617.957255808633	 
28427.761378747975	29332.44180223231	28589.016363446648	 
28309.43092671538	29210.559180166434	28570.03735635127	 
28232.24873081437	29135.813097322403	28419.55989761872	 
28193.790263985855	28881.049031600865	28375.082484101673	 
28155.756622564102	28809.276528291077	28316.898449541055	 
28123.59620494365	29007.58639996362	28281.308496577185	 
28096.23597250554	28810.018093713494	28279.524920055155	 
27973.52190227338	28823.80333012651	28214.316215007388	 
27947.667768012117	28586.121699434	28100.09103363004	 
27874.03371868833	28781.664873152426	28083.866204918268	 
27855.290074060824	28649.139716639	28008.28586764297	 
27817.40151639927	28612.262052191843	27985.44145874169	 
27793.926483391497	28434.533458620852	27936.91934428246	 
27766.60313373639	28481.5064619095	27918.616742133094	 
27723.053267551586	28387.945495001564	27893.021299296568	 
27684.757866311826	28427.951544804277	27846.081451428177	 
27668.38159801914	28224.407131981934	27803.64693002971	 
27644.519894647892	28251.191784562976	27780.06048145255	 
27628.166365084886	28653.487250857346	27773.613718906297	 
27561.975152934916	28287.68253823367	27752.74616768353	 
27525.909233364255	28171.722581905855	27685.40938917366	 
27486.667803910113	28180.270063239936	27652.922982384207	 
27416.96931331053	28128.098260961975	27617.15650679618	 
27379.601306071276	28052.042734969807	27571.676070559173	 
27360.560901435256	28119.745475613872	27506.073158327268	 
27347.8698435982	28011.77601912261	27499.442987963896	 
27317.086357053533	28219.782049993646	27465.620424541095	 
27278.763000888557	27937.793789747986	27438.842849485176	 
27243.725475744846	27851.82444982739	27386.454237943686	 
27215.542914891754	28023.395108763714	27394.51786119483	 
