src/Evolutionary/TSP/gr666.tsp
Mutation swap, OX
Tournament
pop_size 100
gen 1000
px 0.7
pm 0.7
tour_size 5
best	 worst	 average
55303.75418356573	60837.80155577008	58435.671963190216	 
54865.56651633229	55598.27239831751	55303.81857588991	 
54689.1904050714	55285.80065182157	54885.35753716473	 
54236.552865150166	55289.163966044376	54708.685241176776	 
53889.332479876466	54655.764059950234	54240.883969125905	 
53324.78114220093	54117.42920884939	53882.865976481204	 
53094.68212060664	53948.957678561426	53344.37220253519	 
52902.124620985494	53538.464311719465	53124.50778593359	 
52667.25721918259	53152.70684025933	52920.59055066447	 
52486.669425172535	53034.10835170588	52694.964005446825	 
52262.76269346901	52919.737373478565	52519.564832450196	 
52030.87851992189	52518.16734767147	52282.949160185315	 
51815.58040560182	52486.312531135205	52062.09810444277	 
51331.77107221964	52262.5126578087	51829.13798083532	 
51010.77459918243	51817.6825260189	51366.09339542245	 
50788.65011672077	51436.851439746926	51037.18921177045	 
50465.24583957223	51175.89525847517	50808.09352819913	 
50208.15563790967	51006.20089061482	50493.15942685675	 
49928.47386859293	50563.03899317961	50228.35151941716	 
49774.47551793398	50386.23086840838	49962.62813015958	 
49459.70672620267	50160.573972644546	49803.05552278678	 
49045.86087541598	49863.8677764619	49490.91332696084	 
48721.76598831537	49662.513909654204	49076.4027222489	 
48256.197535380634	49490.26333771126	48762.08650323869	 
48082.69786230354	48639.09699790285	48301.70005654081	 
47654.30246531112	48679.51290502712	48124.38356951273	 
47447.367706233556	48118.77719223728	47687.9646003266	 
47297.201756122886	48183.292554669584	47522.380497637234	 
47109.94602669048	47942.06002764797	47348.91215713542	 
46910.284753902255	47561.560300014295	47146.95881857284	 
46640.22315077315	47337.33760982681	46945.76665189643	 
46273.21877201237	47224.630230233204	46679.00926607738	 
46088.47028134108	46804.040052708784	46336.30295977642	 
45796.61304031141	46531.50313186275	46135.807064770626	 
45684.90034188291	46503.02508626125	45850.583454208856	 
45408.89807452962	46254.29913239377	45757.20625631231	 
45303.44651680217	46090.06943664232	45461.68635763314	 
45069.85236396492	45844.256615706974	45368.12414551971	 
44943.79239051677	45468.23581184178	45110.09240857273	 
44737.900997092685	45483.82560361983	44992.79862881232	 
44554.20960773678	45404.27423068389	44809.66414715801	 
44342.684777633374	45006.1029855955	44609.13567070135	 
44122.764628888595	44781.86516138161	44413.51191647358	 
43862.86681267405	44673.46090914264	44194.227610516085	 
43735.81175124646	44535.87434307518	43928.8304296688	 
43451.05983754016	44165.23627236604	43780.074168758176	 
43305.69451059297	44001.81445905884	43523.78000299339	 
43129.49272587256	43764.68848546571	43366.05383818274	 
43008.59146569334	43636.70282324136	43207.36763918257	 
42926.8318376587	43343.65874015403	43053.72882256391	 
42770.669272971914	43441.0637670639	42988.77082599556	 
42621.68716041297	43298.79920828603	42826.66349760851	 
42478.938094198624	43197.000038871236	42689.847042097375	 
42381.245646831536	43156.494140537085	42537.209619171415	 
42053.19207739604	42802.70323105122	42414.387352148944	 
41893.93045015813	42614.81960552598	42119.043658760056	 
41670.6806497292	42422.62722715414	41939.7372087826	 
41539.238214492	42274.73963420766	41756.63429516907	 
41397.91655693229	42314.12469143263	41624.018126407085	 
41206.10429732772	41918.50557308257	41466.31416293873	 
41123.35379381791	41808.190391955075	41275.59896439614	 
40840.84351122249	41575.79344252111	41183.40770280456	 
40682.79010581386	41414.57899350029	40936.52213467451	 
40543.38133823736	41133.02613696472	40733.72171261053	 
40274.40128979861	41156.03854474249	40608.84110011295	 
40101.004779172436	40843.15819759183	40360.38385044939	 
39850.87080442131	40754.7992444867	40168.7344080089	 
39693.92985585013	40511.952244142325	39938.92569175148	 
39540.70230802432	40213.94480511292	39774.94724165315	 
39471.59366349928	40153.488500573054	39628.133257625035	 
39321.29742210628	40081.57299965627	39555.63987159646	 
39163.78501326548	40026.67978887762	39407.02870311655	 
39068.358000264365	39775.70129056202	39252.696205087654	 
38899.46096207406	39836.16484390611	39137.283753562835	 
38793.058212375516	39568.11104226409	38984.51731442913	 
38694.66538319892	39471.35827844313	38868.060623040976	 
38595.311255345834	39406.37592458057	38762.655080654884	 
38514.995432472395	39294.69848301979	38678.71495162355	 
38369.06395002282	39224.05738550839	38600.332949003154	 
38185.84588921026	38894.73011234374	38444.62233732989	 
38126.408920146445	38536.27563894697	38244.524338801224	 
38040.84999459507	38782.58698622363	38229.08968297573	 
37930.91072137072	38593.33095537232	38130.00432150321	 
37845.229520427885	38492.62014520867	38010.48476151385	 
37672.36971658872	38411.28175331727	37942.762826454695	 
37624.79628854317	38385.09004341486	37780.075207239075	 
37490.99507879717	38411.907600759914	37704.075694768246	 
37379.5376633572	38120.794196690425	37578.50671444839	 
37313.73199275329	38176.536312819764	37462.54937471499	 
37251.26796333763	38117.14908900928	37395.6047442556	 
37148.90099389888	37782.174320547856	37315.49913889359	 
37022.42523673889	37866.87721147749	37224.37242826624	 
36933.273621429136	37498.29315438611	37102.00784626307	 
36744.35342599708	37568.96113401502	37020.51511400277	 
36613.829637552575	37333.31240698451	36851.02530541405	 
36495.56369362031	37302.69540164452	36684.07682928767	 
36442.233998810785	37031.47184697098	36575.554221477454	 
36395.20984987405	37078.50682544468	36543.616375399826	 
36356.16535500816	37081.81532547659	36476.10282038841	 
36291.26016985759	37066.81993503009	36451.628390204765	 
36219.72378670253	37070.07344386549	36378.0837032431	 
36080.36014563828	36913.34586485517	36295.10359493225	 
35974.937951968226	36622.38659198876	36156.17369264312	 
35912.1998406882	36735.80630930406	36067.007152294434	 
35786.887961699555	36517.854599014405	36019.358302310204	 
35678.848069769454	36714.89354739181	35887.580307213524	 
35624.60756079145	36421.28602427479	35777.60996611264	 
35579.86394952974	36356.16238414085	35732.17884377442	 
35487.92331725698	36124.444460097395	35687.11780674376	 
35386.73435473488	36048.950866483996	35553.735908801646	 
35273.02079694764	35975.62374383051	35487.948922363976	 
35130.93991528713	36111.56234700413	35365.296558356764	 
35081.42280007246	35710.70988261102	35246.26852080386	 
34952.074302502995	35852.42891533203	35171.8199455811	 
34889.71527800598	35609.540042941495	35050.6010826514	 
34830.39684445509	35671.625448523875	34981.06386666894	 
34640.71221282175	35358.74266531588	34926.99128103205	 
34578.885030359364	35510.35193355069	34730.352304831176	 
34506.61189130557	35178.45840642489	34666.82852099116	 
