src/Evolutionary/TSP/gr666.tsp
Mutation swap, OX
Tournament
pop_size 100
gen 1000
px 0.7
pm 0.7
tour_size 5
best	 worst	 average
4001.3608162392798	4486.64703801869	4177.427494954087	 
4001.3608162392798	4861.294055416101	4209.491316080055	 
4001.3608162392798	4794.643400802591	4184.739738441452	 
4001.3608162392798	5090.23337486468	4263.40201898295	 
4001.3608162392798	4638.525357183755	4200.672152758347	 
4001.3608162392798	4964.030258136319	4227.987172689519	 
4001.3608162392798	5095.6997463793705	4271.802845873773	 
4001.3608162392798	4865.752391941344	4238.288153289783	 
4001.3608162392798	4907.669524582486	4246.35558345264	 
4001.3608162392798	4819.163616095881	4226.539331841105	 
4001.3608162392798	4955.053290482149	4228.2274529865135	 
4001.3608162392798	4976.348731672893	4198.637377583627	 
4001.3608162392798	4952.832799833523	4222.227187138117	 
4001.3608162392798	4896.076916160639	4241.362025042975	 
4001.3608162392798	5063.787578287371	4179.223122410158	 
4001.3608162392798	4858.273093931562	4237.202164616208	 
4001.3608162392798	5054.962870422147	4230.234840615845	 
4001.3608162392798	4996.905352308699	4212.94391714596	 
4001.3608162392798	4976.314595894286	4255.505331480145	 
4001.3608162392798	4917.373738609954	4208.571073960726	 
4001.3608162392798	4966.383587597239	4224.624719805393	 
4001.3608162392798	4998.4007510258825	4228.604400776232	 
4001.3608162392798	4830.698763145052	4184.974068441701	 
4001.3608162392798	4954.001052640567	4241.117700690463	 
4001.3608162392798	5111.277459759259	4230.492529011607	 
4001.3608162392798	5109.521451473781	4221.200494383488	 
4001.3608162392798	5042.124054149656	4249.124010886631	 
4001.3608162392798	4943.148060469865	4217.980547858514	 
4001.3608162392798	5054.962870422147	4232.336937616514	 
4001.3608162392798	5101.254981532293	4230.368777544436	 
4001.3608162392798	4771.039107097369	4204.121413030428	 
4001.3608162392798	4993.756365369167	4184.6605609450235	 
4001.3608162392798	4927.3218537981065	4204.979866459504	 
4001.3608162392798	5100.67655116593	4251.033425316521	 
4001.3608162392798	4954.620078024518	4244.542853538397	 
4001.3608162392798	5066.491651286152	4242.326808301188	 
4001.3608162392798	4980.129960549769	4229.848215983216	 
4001.3608162392798	4907.669524582486	4231.9683685422815	 
4001.3608162392798	5141.837119815867	4229.608499228593	 
4001.3608162392798	5041.258733532936	4249.7352191093405	 
4001.3608162392798	4969.610528331055	4217.6705248560265	 
4001.3608162392798	4887.382357001382	4251.302746169033	 
4001.3608162392798	5034.63885452539	4241.092262654121	 
4001.3608162392798	4952.151670399393	4211.867574817638	 
4001.3608162392798	5091.102245708189	4220.329356891556	 
4001.3608162392798	4855.438639775926	4222.357774632546	 
4001.3608162392798	5038.053944102687	4240.39854785089	 
4001.3608162392798	5069.929178717058	4242.46404215659	 
4001.3608162392798	4971.955642410916	4221.66625324213	 
4001.3608162392798	5056.197241266462	4266.036371932495	 
4001.3608162392798	5114.410101259356	4224.245900144344	 
4001.3608162392798	5158.603936522188	4251.7964588628065	 
