src/Evolutionary/TSP/gr666.tsp
Mutation swap, OX
pop_size 666
gen 2000
px 0.7
pm 0.7
tour_size 5
best	 worst	 average
5567.92159672282	5567.92159672282	5567.921596722778	 
5567.92159672282	6804.114570369679	5787.532632009116	 
5567.92159672282	6584.307423753723	5778.359363000003	 
5567.479643892659	6738.465120548102	5792.895819209268	 
5567.479643892659	6556.43501511243	5800.608526846299	 
5566.409152529055	6550.59397856488	5783.512598668788	 
5550.734636635052	6759.185480080102	5782.493432545019	 
5550.720494122634	6581.013953448102	5776.503650519864	 
5550.720494122634	6654.121415732449	5761.620167579916	 
5548.128731091375	6632.393446096231	5770.243097014065	 
5548.128731091375	6748.4690680198155	5768.947173152393	 
5546.516184467063	6720.661496278593	5774.556278307559	 
5546.516184467063	6664.649282487421	5770.968014061937	 
5546.516184467063	6551.29596115064	5761.722687103209	 
5545.039833836046	6654.676819701562	5762.997352655434	 
5545.039833836046	6669.682392501137	5753.866312853329	 
5535.8823287518735	6770.79289198226	5769.830320324975	 
5532.82534770683	6623.54109626261	5763.1828011694	 
5532.82534770683	6677.366036009919	5767.956581327764	 
5532.82534770683	6656.211602143703	5752.392575366742	 
5532.82534770683	6571.164460051705	5745.351268339891	 
5532.82534770683	6671.293031373071	5762.369972003398	 
5532.82534770683	6626.05109930373	5768.17213345226	 
5532.82534770683	6649.026815663155	5754.771323880847	 
5532.82534770683	6607.598929390288	5751.730471240653	 
5532.82534770683	6643.800945916728	5765.48690184351	 
5532.82534770683	6664.776175491647	5772.239349691938	 
5532.82534770683	6529.878967029459	5748.220404388278	 
5532.82534770683	6648.471021234763	5771.422931486029	 
5531.230795472485	6608.38936569613	5743.054146585734	 
5531.230795472485	6647.049504932356	5755.74639310256	 
5531.230795472485	6637.435377683963	5756.896011046398	 
5527.705024286563	6563.945523687325	5755.467791480969	 
5524.153361962567	6625.919281143966	5773.229403700777	 
5524.153361962567	6523.854559943392	5742.739749815162	 
5524.153361962567	6771.579416648716	5753.395593060866	 
5524.153361962567	6729.56503644409	5752.497756919127	 
5524.153361962567	6562.492474307442	5751.786378850229	 
5521.8730368666575	6595.359282243865	5755.5851267386315	 
5521.8730368666575	6504.464077687876	5748.374017682678	 
5521.4648550940365	6560.205453198913	5737.339145412163	 
5521.4648550940365	6590.973453438949	5740.260892373142	 
5521.4648550940365	6506.580645701154	5747.4761425141005	 
5521.4648550940365	6629.477038425273	5756.103506046346	 
5521.213151271291	6604.289822154467	5735.119583393718	 
5520.409919013031	6713.989478822339	5753.992848941816	 
5520.409919013031	6861.683091226357	5729.516607080141	 
5516.996229753027	6591.365763761532	5743.71630526205	 
5516.996229753027	6518.825894308643	5731.169558074767	 
5512.2635286087025	6633.156454295032	5748.543697482181	 
5512.2635286087025	6620.051525728204	5729.468800219384	 
5507.7895629269115	6616.6064823187735	5725.003801966221	 
5507.7895629269115	6619.570601196955	5728.2845596001625	 
5506.537752464447	6646.516511624124	5738.977608615018	 
5506.537752464447	6705.69560049395	5735.486930582554	 
5500.520969111988	6705.191665286007	5729.728625689124	 
5499.382661160919	6728.170823106757	5722.582029008745	 
5499.382661160919	6676.44896458586	5716.239495653639	 
5498.252295576878	6522.731038198564	5746.287592152052	 
5483.266389821907	6644.0429016645685	5714.5511745618	 
5482.532379194825	6517.2032625509155	5707.726082772366	 
5482.532379194825	6576.611113858416	5711.889175306623	 
5480.851494967983	6616.696251340687	5697.773597049499	 
5479.190469987912	6551.998781326253	5706.66661415881	 
5479.190469987912	6576.831301619315	5710.086729653786	 
5479.190469987912	6647.242977515828	5679.2720046331115	 
5477.450590977112	6599.295421053491	5692.146107271161	 
5476.8941152345105	6697.59402468915	5704.286625190752	 
5476.8941152345105	6570.960830069193	5713.414096562834	 
5476.8941152345105	6509.258186647932	5689.097354106371	 
5476.476582024782	6667.548514620948	5698.276356075301	 
5476.476582024782	6476.675342666506	5711.775307763986	 
5468.113117694029	6487.353949485856	5703.215212372766	 
5468.113117694029	6438.91698434773	5702.455610571406	 
5463.454030562085	6565.787717754856	5698.070905041079	 
5463.452527118712	6505.487419363107	5687.778279666273	 
5463.452527118712	6522.205257954353	5680.312028856097	 
5463.452527118712	6503.035449386277	5676.5369091405155	 
5463.452527118712	6508.747504834227	5697.802337849322	 
5463.452527118712	6432.899493193406	5681.1658862243685	 
5463.452527118712	6733.629109984837	5692.6674039772115	 
5463.308962267731	6593.247869959355	5685.287866187924	 
5459.062154930555	6454.699172883268	5671.5839774637225	 
5449.646300665455	6580.738302541133	5687.33993693538	 
5448.339516228569	6574.055526569778	5658.960251049047	 
5447.811762000399	6559.5387266299485	5672.2099448526615	 
5447.811762000399	6679.202666671343	5667.131845927815	 
5446.067053871635	6581.312129366884	5671.13498240688	 
5440.503334294771	6507.0378533441	5679.461356911432	 
5439.126400441877	6543.904255904586	5670.068721172655	 
5439.126400441877	6606.548715716679	5655.238177118845	 
5439.126400441877	6525.117553239252	5659.925797070412	 
5439.126400441877	6578.994217345571	5645.932443543672	 
