src/Evolutionary/TSP/gr666.tsp
Mutation inverse, OX
Tournament
pop_size 100
gen 1000
px 0.7
pm 0.7
tour_size 5
best	 worst	 average
55432.19052153744	61676.199021099754	58774.753661874776	 
55118.876809295194	55659.01933192946	55435.26404708924	 
54925.344662793395	55380.88318048688	55136.05822492613	 
54695.35584485716	55110.28712453522	54927.63360960648	 
54385.465674329935	54895.14745384158	54707.85687005562	 
54143.31598212915	54590.65307831772	54399.56433774841	 
53923.64193190174	54352.531109027615	54150.89805180788	 
53529.72666173355	54148.18398662797	53914.34284820157	 
53333.605963382826	53810.86644289879	53530.900300831854	 
53147.1676173613	53588.66111997766	53343.00970178883	 
52857.44144332544	53592.31846808347	53158.998232007514	 
52463.806456410064	53100.12024548139	52855.07626217505	 
52261.260072532925	52718.69590492393	52469.76026594131	 
52070.44983239455	52631.741744699946	52279.95192513634	 
51890.157343727515	52457.056171466575	52092.53590985944	 
51707.49913909668	52242.57212019906	51907.769235784384	 
51477.703276161745	52051.81125160376	51726.40260691829	 
51249.29492645983	51635.774183985726	51478.13243849774	 
51026.02185644219	51492.43578823791	51258.78456141089	 
50779.52598110302	51273.99943679058	51047.76799251937	 
50562.596247521644	51033.169460250116	50792.085816334875	 
50389.70410485054	50871.18097612252	50574.330012703176	 
50169.70894501937	50774.75120329744	50423.88799565392	 
49978.9237378772	50534.737206015394	50191.36084198316	 
49863.887305624245	50283.29440347151	50005.258948873634	 
49716.398378335536	50155.13829347544	49901.81330094137	 
49537.12129891235	49958.655672805166	49745.211145817906	 
49354.007813824035	49761.804945413365	49550.876974980776	 
49209.85230298232	49706.66566320099	49376.95554721638	 
48966.97051890187	49488.98696967534	49224.17211935534	 
48796.730155613266	49365.05186808333	48989.14491527535	 
48493.98156356485	49100.85682695384	48807.96643097412	 
48350.169086194306	48872.95467966628	48530.34360513255	 
48185.86557668135	48553.81593792061	48367.32660212357	 
47955.14955791212	48608.46629645674	48211.18061116563	 
47856.02947620401	48347.421884781594	47985.32423305508	 
47659.969052059816	48149.22978990687	47886.56792434219	 
47504.7662876979	47934.09321258184	47674.91418218471	 
47300.819180932966	47921.819657911605	47529.99629193629	 
47125.50802130126	47674.4164417624	47333.66192359556	 
46764.08352513562	47380.947675981944	47151.27863347248	 
46429.810100799936	47193.65468418304	46801.70697604674	 
46269.158201766244	46665.633468097745	46457.65914156696	 
46023.888021530125	46672.535940093585	46286.73457154862	 
45697.63581453576	46280.26441894944	46040.70514779153	 
45300.06444046525	46043.3002070781	45716.32233962386	 
