src/Evolutionary/TSP/gr666.tsp
Mutation swap, OX
Tournament
pop_size 666
gen 2000
px 0.7
pm 0.7
tour_size 5
best	 worst	 average
53977.10481462558	61577.14194275788	58410.44693414619	 
53640.577855738156	54406.450683725794	53995.507438850196	 
53200.48334290113	54525.9043971652	53665.606131902685	 
52745.517357719385	53828.11020358894	53228.431063265176	 
52359.33597334622	53407.246817960026	52773.17213155798	 
52072.81352303933	52957.441128956605	52384.654748963534	 
51784.94340129492	52682.62638966145	52102.39238824956	 
51277.84600590994	52629.557741405144	51808.801039670456	 
50856.955483497426	51926.28450554715	51303.13505560543	 
50565.60883767631	51523.007083337034	50888.449484857665	 
50292.23736056598	51078.50600968504	50600.78067894299	 
49853.00507286177	50894.7211163801	50327.804888157836	 
49474.256343279725	50584.509983345226	49892.32015357915	 
49218.14446496768	50011.49310294335	49510.56014514137	 
48962.469027062725	50074.21278200421	49262.93736703402	 
48603.10091045825	49654.20875702158	48997.91235464493	 
48328.31205205552	49320.3381823087	48650.56571419451	 
47991.21380932402	48941.90284500491	48365.7584594596	 
47626.6668546316	48547.86013052233	48037.7543889419	 
47317.93185410062	48154.19273549995	47677.45643543994	 
46939.58142681038	47920.41560991473	47358.75700263585	 
46576.39248302989	47809.874705557435	46980.66546978634	 
46316.43092876336	47281.61342858845	46626.387562129545	 
46062.15052643504	47204.01946617	46366.56553789515	 
45757.511947971456	46781.3481592476	46116.6304793129	 
45427.795786164184	46487.51607188769	45806.46831497902	 
45179.99281779976	46105.89417663188	45476.20990223447	 
44964.62380810423	45885.2137633583	45233.991226664744	 
44720.13087761255	45812.875986971354	45028.16351766121	 
44407.824650841314	45473.16263975679	44780.26852127238	 
44173.423956400286	45218.46123642072	44471.48048200796	 
43856.56791817366	44792.518432446595	44236.62401350611	 
43605.5343515231	44746.15406916266	43918.59907239609	 
43279.53085156584	44380.87584815667	43667.70904259373	 
43015.96758960799	44160.86062536189	43348.573509202746	 
42677.0341798236	43713.50713711939	43079.23878207425	 
42372.047098489	43356.38298599285	42753.68606827387	 
42135.5871511615	43071.355396198785	42437.057879304484	 
41955.91534071617	42886.221760445005	42198.45578393472	 
41739.48122108204	42651.888281408625	42026.91097425422	 
41525.585592616524	42500.157343367944	41807.70616667909	 
41335.50577950136	42372.935306608066	41593.47532955244	 
41136.352704349236	41999.31731614731	41407.5550216717	 
40933.381770656764	41977.195449311715	41210.525112972675	 
40690.616658583654	41695.89322570825	41009.3692410228	 
40524.04801524396	41407.10363342971	40765.55331307554	 
40249.9529068754	41425.52161107652	40597.75286409085	 
40042.65970318703	40993.81000156196	40329.85434899908	 
39778.400731306865	40905.99034521211	40114.82501799795	 
39541.160905150806	40562.41630929507	39848.26624892484	 
39336.10949928101	40241.112774560504	39606.4332858544	 
39204.69573081806	40180.167712395865	39428.478514543975	 
38999.102115552334	39992.744917481825	39286.3557882731	 
38828.74807452919	39843.48993913733	39081.78951348146	 
38535.58104144184	39551.98975052024	38913.51925372928	 
38419.88255626958	39519.25768536904	38620.508244640674	 
38283.465901859505	39188.097203375946	38512.256458522745	 
38134.2051491425	38945.762763839695	38359.318550519194	 
37978.43677841563	38867.33533447199	38223.20668475396	 
37815.47712279983	38692.85742766916	38065.70117839771	 
37648.84203455319	38664.946376762826	37911.502262701426	 
37503.85598466453	38544.171025377684	37734.96415408753	 
37315.563945884904	38419.8619538581	37592.317611114944	 
37111.79947857954	38057.87709807659	37395.44626493976	 
36982.160524334024	38042.03682741786	37198.19783132351	 
36829.51640399158	37796.804342882366	37068.07504273391	 
36618.51580529613	37543.45480769933	36909.28971689886	 
36465.855207177476	37436.10847559003	36708.833007071386	 
36289.13874773246	37338.23886699687	36559.5806786294	 
36100.46161749807	36977.25808561705	36376.76384106582	 
35928.07962704887	37040.63829555523	36189.828900784545	 
35770.92924384463	36734.55330045623	36017.85867657819	 
35630.05155669891	36562.41289339547	35845.900622934285	 
35460.96615220751	36452.48348981463	35717.17572479275	 
35293.91094853943	36351.6942299447	35557.19101799479	 
35139.867806663184	36055.750411268134	35394.06889489583	 
34960.390917428274	35865.47010729853	35234.237167871855	 
34815.72923513014	35715.90802352765	35065.96466392855	 
34650.18473643634	35549.06437881669	34913.24672433146	 
34529.54647113919	35545.02408692476	34749.193597351565	 
34402.769272593934	35355.80968099557	34625.39192019646	 
34238.898011829246	35180.3036248847	34506.11205589225	 
34127.159067160006	34997.89598890885	34327.898935436235	 
33982.99508921829	34964.710216641484	34227.49366333162	 
33854.86344284393	34810.65933020267	34087.33812319711	 
33758.00082633363	34682.805889534466	33954.703933931756	 
33603.30793133229	34535.955235346795	33865.67827482504	 
33473.097142644474	34571.86978927839	33717.87852207846	 
33315.46099742403	34260.31447871465	33580.370503774844	 
33222.334192624876	34237.5267855894	33427.682064567256	 
33119.93407610605	34055.97844236701	33321.049865975336	 
32987.911971229114	34103.61072003326	33230.59007243422	 
32895.337612064795	33915.062355039496	33102.10004446894	 
32798.878917386195	33745.92504468884	32993.27920468356	 
32650.92228135456	33576.160648479374	32918.66266075589	 
32587.46518853465	33509.17595020581	32771.565037296496	 
32460.267760071325	33517.24491553292	32701.08391109184	 
32362.43483884432	33234.65367206903	32574.983368508863	 
