src/Evolutionary/TSP/gr666.tsp
Mutation swap, OX
Tournament
pop_size 100
gen 1000
px 0.7
pm 0.7
tour_size 5
best	 worst	 average
56304.11383847835	61186.39165148891	58619.748925070846	 
56304.11383847835	61166.784708088744	58637.55437165179	 
56061.68559143952	61227.19025202361	58628.25781621465	 
56609.22257373547	61161.012383444075	58688.35874093527	 
57033.01653708715	61161.012383444075	58806.27960496676	 
57055.31425882088	60159.45600773905	58760.5252583297	 
56974.321011235246	60318.14609820707	58707.329234543795	 
56899.2569631906	60382.82152805104	58742.955706076966	 
57111.49030321955	60370.09243095828	58934.367150380436	 
57107.31695780167	60370.09243095828	58930.24573757003	 
56831.79817165071	60446.932822888	59015.01523624493	 
56832.50724399243	60446.932822888	59006.56813792046	 
56796.3160516458	60457.03679738249	59014.4649107523	 
57213.09064301903	60519.116824283476	59063.03049401404	 
57213.09064301903	60526.65968654754	58973.30107640261	 
57037.46624036525	60409.22189123035	58967.51132047801	 
57010.08445819726	60409.22189123035	58940.23086075398	 
56905.29918762488	60390.31125617607	58934.95899045965	 
56989.42606173626	60438.03099146027	58879.927330270264	 
56989.42606173626	60700.820987507424	58912.53214543778	 
56835.89068578914	60715.14349474989	58990.26663900487	 
56925.09644163059	60212.76345193776	58924.09707674395	 
56978.460777380955	60234.59323835817	58841.044753821	 
56918.78991818191	60536.28243330038	58905.28070821389	 
56991.620853680644	60515.54329382772	58923.659071421855	 
57053.320347757886	60515.54329382772	58861.36881999225	 
57115.954957364745	60515.54329382772	58839.71230693455	 
57115.954957364745	60272.38723320591	58828.47736641471	 
57116.98724701611	60381.02373637053	58820.41162372755	 
57134.7164706965	60381.02373637053	58838.88120598221	 
57043.57044614211	60418.72010970698	58977.17590098894	 
57043.57044614211	60418.72010970698	59061.69054757608	 
57595.902333114514	60433.246546807255	59083.734358563626	 
57522.99385032994	60445.21900597142	59061.293554619944	 
57522.99385032994	60361.78112974812	58950.78442266008	 
57545.679575403876	60418.22856142386	58804.44114539529	 
57458.65664672885	60414.72503137673	58646.815418228805	 
57458.65664672885	60414.72503137673	58564.08059198372	 
57275.27881424994	60468.38157490219	58564.3114747219	 
57341.463192588846	59861.69923101524	58546.96727029932	 
57386.12406098956	59908.751064454256	58556.25877978627	 
57446.5433856577	59821.6489537986	58500.78739330423	 
57414.07203289628	59762.395924607954	58445.511806915325	 
57468.05235305148	59783.62478769091	58402.77065786923	 
57470.13844177785	59798.4240411294	58500.77416446193	 
57458.524187732946	60032.16988964829	58450.34036783662	 
57458.524187732946	60032.16988964829	58556.21811483885	 
57244.164528226065	60032.16988964829	58486.887683882866	 
57209.61097931089	59860.00344895489	58456.6366149588	 
57422.59888337918	59934.62918019984	58393.67151081142	 
57444.21586447517	59905.449892744204	58347.18542711926	 
57294.019678457036	59788.170384491306	58354.47723402398	 
57270.873054082265	60025.51729133052	58395.579686095894	 
57225.01152358004	60025.51729133052	58405.892377901546	 
57225.01152358004	59821.6695123497	58494.4498128386	 
57219.5360822085	60058.99834138912	58598.67441409275	 
56918.27730340022	60005.03229759721	58571.100529990224	 
57307.44276152248	59952.43117756795	58598.45846178938	 
56895.79997374924	59895.08175037276	58454.08009900245	 
56895.79997374924	59897.15214739493	58463.367956929906	 
56913.98634673768	59863.33037057804	58494.62271211078	 
57202.641575447735	59872.69997223662	58548.057710499364	 
57170.369337013806	59892.990805385045	58574.882650001615	 
57288.776599280245	59835.37202713937	58558.355402148336	 
57297.904000227245	59831.876935354034	58574.60537616516	 
57182.272055812835	59811.57396926205	58504.65864733604	 
57253.49824993259	59798.35380696634	58476.75493209018	 
57249.17054947138	59830.76050842497	58468.340901669544	 
57249.17054947138	59925.79062421015	58525.002147838706	 
57086.697708194006	60032.14573169448	58490.648301781286	 
57086.697708194006	59944.82161285284	58484.401897584976	 
57083.785116902414	59871.80454301702	58489.97709130166	 
57048.41378890155	59866.415474421075	58447.380758962914	 
56834.96728777865	59866.415474421075	58600.48606186228	 
56926.066373796755	59784.09432392718	58563.277918006155	 
56928.105891073974	59851.60111587951	58631.22959133679	 
57335.225674258	59828.875161343145	58687.84305151146	 
57373.68209380394	59698.96703366733	58714.68419264213	 
57080.29756574508	59595.164349062004	58606.49783588484	 
57617.44959803874	59551.3643559777	58721.20889588617	 
57608.39306127733	59669.26116018268	58691.44475818871	 
57510.81499660373	59637.427641364586	58589.949903644265	 
57517.19861691001	59730.452178423555	58585.83512522706	 
57464.55256848073	59805.355454874676	58598.393186480185	 
57490.8399952448	59824.77903606387	58602.87062992562	 
57452.58427709094	59954.56628516272	58577.08283783165	 
57294.70970238612	59877.643296401264	58535.735267308475	 
57448.53399258948	59726.790578594846	58541.13700695164	 
57389.30965369938	59800.51975483255	58666.11762127138	 
57389.30965369938	59976.99420402383	58721.04947522449	 
57315.10205034216	59976.99420402383	58611.930157735704	 
57371.15279417843	59986.429385980395	58700.417450471294	 
57071.62906553501	59852.404605035896	58615.99670211518	 
56854.848994111984	59893.30382842621	58489.659846360286	 
56838.866433597934	59893.30382842621	58654.63681515576	 
56876.62717307815	59893.30382842621	58612.004418689525	 
57032.148767976876	60068.09852156149	58738.16243405504	 
57104.38986560028	59848.80046832991	58832.4438158415	 
57104.38986560028	59848.80046832991	58865.036745737845	 
57094.598758439235	59795.27346354141	58863.554120380526	 
57094.598758439235	59795.27346354141	58860.28122212323	 
56950.79572658084	59795.27346354141	58911.43049239143	 
56824.66317906711	59795.27346354141	58976.18339150908	 
56824.66317906711	59812.2468830041	58920.98523506895	 
56816.93916484057	59748.972335782586	59015.18514961483	 
56824.66317906711	59819.123247010655	59030.07189512141	 
56783.62337033589	59931.022592396344	58951.09088590132	 
56684.734214275406	59920.810493187724	58986.097101433545	 
56806.430682912476	60156.52095221373	58956.49571029413	 
56660.41577196039	60204.70002624885	58974.0339438765	 
56314.01158768493	60344.47531258851	59004.77057958521	 
56660.41577196039	60335.23669965221	58955.37712311295	 
56555.149709486825	60318.686121815175	58928.481129381915	 
57056.57299526101	59866.88793852255	58940.09064197712	 
57056.57299526101	60129.5344244382	59044.42874063512	 
56893.39230239338	59883.60330141811	58923.28458528792	 
56893.39230239338	59612.079312828246	58894.605734511875	 
57078.6409414829	59488.58043271164	58838.55222459035	 
57071.738650761494	59482.84069752697	58868.45272236384	 
57007.03791199196	59559.768586806196	58859.67701942336	 
57023.61799405299	59567.238677992165	58821.22014371275	 
56999.43745963272	59541.4953288741	58808.84624881346	 
56982.152343335976	59541.4953288741	58811.24969625333	 
57117.401971559455	59664.75500802577	58890.789105613876	 
57130.940681524524	59820.95059292341	58899.29914995679	 
57118.49580896309	59813.477095923496	58894.32003569349	 
57118.49580896309	60211.857757274796	58887.663242315284	 
58030.34830202608	59571.333212046884	58843.57278561219	 
58248.5893451693	59865.73319683365	58871.119725157034	 
58251.02161439595	59873.80632881301	58900.518387047414	 
58093.02245141255	59864.93067340081	58858.36881218608	 
58093.02245141255	59625.68836249575	58784.95923734695	 
57969.26392759211	59549.68938753276	58797.8811108438	 
57592.084906140095	59509.825079562615	58781.969568969456	 
57590.074442912664	59625.974483568534	58750.30457851923	 
58063.083648250045	59605.21802942218	58757.281530204535	 
58042.299862279084	59605.21802942218	58753.50132358168	 
58035.6289214293	59634.881933295685	58829.54585922748	 
57827.380363986376	59687.005934697554	58790.854595736375	 
57878.216249875484	59799.590481659725	58743.16458345994	 
57870.01419632908	59735.61631406887	58666.26185759736	 
57843.60923587272	59951.73732652677	58713.13007437743	 
57843.60923587272	59951.73732652677	58751.79831679805	 
57896.611580924524	60067.25572316834	58808.608868295305	 
57703.49041425895	59898.845106392975	58798.70598270584	 
57876.30015111755	59712.309669242066	58857.22764216826	 
57731.349836369875	59726.32034192151	58853.94691475879	 
57628.84595220211	59984.006582952774	58888.56198033141	 
58019.16612156641	59896.23842911454	58941.555488143415	 
58006.4397904566	59896.23842911454	59023.98552117988	 
57864.08749991888	60029.28581311955	58992.83748798519	 
57878.86238783601	60064.412890601634	58935.69664585311	 
57763.48008934146	59886.93226898543	58880.703587679585	 
57851.89469651475	59957.15540474838	58914.133430613045	 
57767.8872555158	60022.02846646895	58957.31776619983	 
57985.61694412837	60267.2811889788	59001.517038638565	 
57568.18921025724	60267.2811889788	58931.6762120765	 
57544.615440621004	60218.00083030185	58925.941997690024	 
57562.73563396551	60231.482292745706	58919.60797823582	 
57773.34518292931	60404.09109500422	59011.99061605664	 
58239.554859397045	60320.51395922241	59102.862266566226	 
58153.10793067336	60395.173476178905	59049.26900948457	 
58128.75906040492	60387.411027398455	58991.737800388626	 
58113.71090302035	60387.411027398455	58956.2481704993	 
58113.71090302035	60387.411027398455	58983.90050112689	 
58061.24118560323	60387.411027398455	58983.82137700688	 
57904.16536351469	60361.31973980324	58999.66051517205	 
57879.53925834372	60361.31973980324	59033.60530733546	 
57918.79599671211	60361.31973980324	58961.28984607629	 
57910.945829300435	59892.617295714175	58941.723714241336	 
57838.010339062086	60046.71744511196	58936.78139729046	 
57633.375319349754	59941.50848162411	58870.62462395536	 
57833.14301213764	60038.920961359625	58927.782549283096	 
57838.010339062086	60038.920961359625	58902.827007101485	 
57471.74763202692	60038.920961359625	58808.470859115914	 
57614.06728324711	60055.94510937522	58905.26564351277	 
57587.95824413296	59950.451763128636	58844.241777730684	 
57703.05798441555	59941.95058846088	58914.75871443123	 
57714.41021970248	60004.79915016324	58998.16990078298	 
57636.75106086148	59995.31025038035	58979.78563410369	 
57532.3901663394	60175.89357124502	58945.57030987544	 
57532.3901663394	60286.81334892435	59019.73527868469	 
57532.3901663394	60286.81334892435	59080.83043206823	 
57532.3901663394	60272.178389407294	59090.5151606456	 
57511.91199976475	60130.699082239786	59089.31461845434	 
57503.281359159046	60108.67585598963	59124.124319971204	 
57511.91199976475	60160.82533838463	59232.19492861526	 
57403.11869294445	60204.17002162212	59223.86605896575	 
57404.81202249744	60291.92711086706	59197.16237501913	 
57105.30391759273	60479.284432867935	59195.22814984937	 
