src/Evolutionary/TSP/gr666.tsp
Mutation swap, OX
Tournament
pop_size 100
gen 1000
px 0.1
pm 0.7
tour_size 5
best	 worst	 average
55414.35638141903	60731.310634667934	58332.27186476031	 
55106.70381080311	55928.56232079699	55429.874778393525	 
54811.41111110362	55409.31993058952	55111.43462744158	 
54601.48650079368	55083.58317825471	54813.43577686105	 
54368.75030843389	55051.33692803124	54626.970464609134	 
54103.62153548289	54583.62877724222	54361.194036060144	 
53766.20277429964	54589.91406369009	54121.156581127725	 
53488.08156213646	54025.31198521661	53790.063002140196	 
52972.125652922026	53811.32777062166	53493.56395239733	 
52632.967346161764	53578.33371747349	53005.575942042444	 
52360.87031199515	53071.87930322242	52656.36663248928	 
52029.479411752596	52703.94659096292	52382.978993359444	 
51777.64262307638	52383.29876847796	52048.29477662556	 
51573.13431631558	52047.86392395988	51812.423537631585	 
51406.76284968498	51907.00758530015	51599.79294932187	 
51176.406295394016	51820.46436356026	51434.23221112432	 
51028.28720830601	51735.69656509182	51211.395404090435	 
50698.75998220131	51308.14358288393	51050.89919112038	 
50285.67139005368	51200.96600904224	50721.84614831601	 
49936.80640402805	50660.03506040549	50323.81479244055	 
49376.53061935331	50474.793616011775	49969.00233423314	 
49117.28897424261	49723.62310350001	49406.276105420955	 
48960.285232582835	49641.59246925156	49156.28109300054	 
48713.69045212251	49551.13725992242	48994.86834204614	 
48484.83073725827	49244.905574063894	48747.90290336044	 
48275.087125457234	48854.365060066884	48523.719830500224	 
48020.553921976745	48693.12348554436	48327.347283123556	 
47797.37663801075	48526.42012567749	48063.151860313366	 
47488.80901485682	48260.41450090431	47831.6530980401	 
47373.32420947837	47884.435680821894	47528.07389498575	 
47057.209648918484	47707.16186877341	47423.41391608973	 
46852.411247792195	47645.793910246866	47102.04672966536	 
46587.07072961453	47270.83187187656	46888.46308273363	 
46425.361431187965	47117.86310728097	46644.57340756963	 
46211.11560302206	47218.45715119443	46477.70363532433	 
45949.90202640762	46598.21479045221	46253.31206197898	 
45726.37651748928	46591.738408595214	46001.040827664525	 
45596.20411880366	46552.15501699904	45792.87342630497	 
45402.59325427283	46192.052783953804	45645.3419179125	 
45277.95965041118	45977.51838720097	45481.3173141812	 
45099.451087263216	45826.65531284695	45356.86563214153	 
44829.921851417814	45571.35110725482	45144.56232818089	 
44679.52082267839	45251.23880171561	44879.811172721376	 
44522.32716580189	45426.074856793624	44755.60324832073	 
44397.204368042054	45320.91691057519	44575.620860035364	 
44242.51023977331	44876.00459369244	44459.233865455826	 
44117.66106936463	44770.12966317389	44312.83596627577	 
44001.867858346865	44698.795702500356	44195.24096329451	 
43867.327246957015	44708.828028063996	44070.88105789339	 
43647.02032980569	44208.07619542892	43910.48052075508	 
43403.66317032969	44135.34729136688	43689.74043217833	 
43240.01803975465	43963.62818425223	43463.09041447389	 
43119.35259432844	43870.2695383502	43285.34808766427	 
42931.93680534662	43714.4956955726	43187.739647626615	 
42745.747732698735	43453.68957794918	42999.7144544911	 
42552.902415249366	43609.17316611325	42805.62623965131	 
42492.90508414429	43315.409761899384	42676.70938319343	 
42267.20577786713	43272.867898287834	42543.76214288521	 
42164.268114315535	43085.70886106106	42354.57445555567	 
42024.4475610254	42706.20379452115	42229.78881687633	 
41879.65751764521	42721.7835159102	42103.52079628016	 
41665.39891992819	42855.355809954905	41977.47712616257	 
41594.93824636675	42303.51030841456	41745.26920930142	 
41417.814733018546	42151.28834547142	41657.68470034209	 
41306.6217605438	42207.90740108604	41504.509650597654	 
41163.299542354616	41966.09120162965	41389.94171194766	 
41086.951433602444	41920.31930802415	41247.671829786545	 
40868.871256142134	41668.220032921214	41149.6270532218	 
40647.84699237575	41603.58790995688	40956.737967431254	 
40496.211856826194	41209.71181745686	40702.841545999516	 
40361.01085285277	41185.27326613916	40576.90228394771	 
40019.19862880669	40833.71942996534	40429.104424911224	 
39928.6944703198	40789.36263418631	40100.428533524464	 
39795.41432883852	40672.10128734647	40024.249073610605	 
39584.96260926431	40357.4280696001	39868.452946967096	 
39463.86830189158	40270.985473456254	39672.7149264629	 
39359.11277117936	40023.30583495086	39550.99168836895	 
39239.4089165557	39795.91543396204	39429.437177045234	 
39134.027725916996	39970.04322010129	39327.234259460594	 
38973.2486199896	39753.33177938342	39222.461730164396	 
38888.03424585715	39540.08749286102	39042.360688474146	 
38763.29646994382	39513.12508214431	38960.47415431588	 
38571.417715862364	39314.467365107834	38835.997238224365	 
38389.52595002306	39134.889247240186	38622.82325313283	 
38260.28225752803	38979.000932748655	38479.32697026313	 
38195.69685382571	38835.20967921353	38349.573486058645	 
38107.22882344252	38742.325768214556	38271.70519609123	 
37947.470508605635	38767.5946821846	38182.61370554033	 
37850.9792713233	38743.35682804811	38035.2611719538	 
37750.598528435075	38458.04424432691	37949.66152846212	 
37582.41010246055	38522.22878083802	37838.59434012366	 
37562.589933241245	38159.88403191778	37676.29441840508	 
37507.22483073235	38138.942991460775	37638.10301224325	 
37454.23847982077	38208.52060344149	37593.881431442496	 
37395.123688148065	37960.33371946725	37537.71129218355	 
37322.55261300975	37978.911384350664	37486.85373532562	 
37193.92657914668	38069.99999796493	37415.06916284149	 
37062.76161687503	37901.261248957184	37283.490965346515	 
36976.24975694899	37624.72846376351	37158.83372190461	 
36855.07881128947	37527.777707983	37041.657364177336	 
36782.927367992685	37342.47391454007	36911.89361450064	 
36666.918697590714	37495.77594642091	36892.59686935749	 
36561.12920570135	37260.59499011316	36749.610725595805	 
36488.764546657134	37200.38163515149	36656.309404835876	 
36396.376880334865	37004.720171782224	36551.05790576504	 
36243.52416730007	37147.42800946576	36486.506236424495	 
36161.275942564345	36818.45158898558	36347.164390529666	 
36072.83861487604	36802.476437199286	36244.09357864454	 
35984.57534147627	36810.37832694907	36168.244442229225	 
35880.95735341005	36500.620024239055	36064.9777536945	 
35822.38863479393	36400.33830579461	35972.466571431585	 
35714.13271889254	36487.7511209255	35923.23167034434	 
35601.70210184337	36272.4785043861	35802.353846807375	 
35452.70292177847	36177.87703834243	35722.423248354986	 
35293.586575193134	36136.99352835675	35542.85331886283	 
35150.81698073845	35805.43223307773	35364.60471217962	 
35061.555557497326	35808.60598560149	35254.34334709207	 
34939.52267012988	35711.63689696835	35157.10811018269	 
34882.56200515717	35568.20159995507	35052.410134910366	 
34747.94877362673	35665.74697682391	34985.96886825227	 
34638.525140887905	35418.68607032666	34877.62398248808	 
34584.877707311316	35119.62610941145	34739.76747406377	 
34519.37729187877	35219.531173980366	34672.629035398524	 
34410.30921734762	35113.88645339585	34636.981087076434	 
34376.0675147226	34974.4069560978	34522.49775664376	 
34285.81892648874	35113.3841393553	34478.391307125275	 
34161.12190166008	34836.89488290794	34385.45512202496	 
34042.00549843726	34803.62136755889	34256.90642211258	 
33929.26843661895	34731.06986457747	34138.95967275337	 
33808.71642673073	34570.296045003925	34013.266625299606	 
33702.418661536896	34467.017062801664	33908.901765802424	 
33620.415562765345	34368.870066915835	33792.294595865955	 
33560.920023168415	34312.095413924	33726.299671017965	 
33501.73739756467	34274.52145047021	33661.72869283095	 
33421.15647655295	34164.75156961923	33616.10007337883	 
33355.74552733673	34198.11580465366	33518.1782300772	 
33272.48623942557	34331.97413803174	33482.06867920121	 
33259.03715817851	33753.8270787303	33369.23796026957	 
33177.98598757326	33781.59978898981	33372.176068145905	 
33091.745950379234	33676.51236781446	33274.899877752985	 
33022.562174552506	33500.37047021108	33169.99346178362	 
32966.781069003024	33836.99412051847	33135.037228983194	 
32858.340252762464	33614.60356835067	33062.56053120392	 
32707.91486734365	33522.65745666472	32957.178477657384	 
32604.076240935115	33442.74100478479	32810.9706960931	 
32554.017585742153	33287.272134408806	32701.373310682495	 
32454.28875442829	33376.143523069266	32687.427168246304	 
32402.17272273423	33192.84477587944	32561.815239366795	 
32273.197093394	32990.17491458152	32510.732339080685	 
32222.288346023262	32852.30490645598	32370.54727390638	 
32181.927696521736	32846.63664939605	32313.914666599114	 
32010.382192763507	32765.410742449792	32262.785626659817	 
31950.767806311953	32785.97403457419	32108.08770022664	 
31891.71088624332	32434.507920871547	32067.320562062105	 
31785.621635418174	32580.775704037256	32005.392511896905	 
31686.211029448197	32544.097078068622	31897.175855018228	 
31566.798585923316	32317.405221709043	31784.97075154245	 
31527.435767488834	32359.505231993448	31707.66563338671	 
31497.643336400102	32187.69985767372	31624.98591230125	 
31422.213032951182	32303.994036253855	31623.296115954585	 
31316.68067713101	32049.251345230492	31527.70332298866	 
31237.88981077085	32125.83305372026	31439.55152354548	 
31192.489336100945	31917.51478344509	31359.360466739494	 
31071.859258519813	31796.73201969385	31300.904593283427	 
31020.80255417793	31722.168347891296	31196.682030483098	 
30966.808268003973	31582.72778685018	31117.164161422425	 
30950.630276560267	31668.206718966834	31078.749526563344	 
30894.668461707224	31706.080769257802	31092.555764980534	 
30832.765666652744	31509.377334273555	31013.496907855395	 
30789.51749300819	31667.112110951744	30964.460793506052	 
30738.86617749562	31628.28442180365	30934.947423145073	 
30698.70322341486	31409.409800943864	30879.510601014103	 
30665.59848744266	31408.194485844157	30824.264733263455	 
30566.121621527196	31224.55627456709	30770.984705388128	 
30399.82022369305	31054.512299415408	30668.012570286715	 
30350.990396982383	31125.705875727846	30530.466561442307	 
30314.473707831727	30911.236831143695	30430.63674682073	 
30300.471967784644	31101.463008155464	30422.819823494676	 
30281.485732444267	30941.083886198434	30397.06175766481	 
30234.290480543237	30897.990710446367	30401.10382910982	 
30167.551993897727	30742.48151007638	30332.36279232487	 
30122.900619682736	30619.533311147898	30281.774482791472	 
29969.09703723613	30766.009496782008	30220.538031538577	 
29917.443435792502	30625.390251919358	30108.70747204084	 
29871.328667413276	30686.92238923917	30058.990737355358	 
29870.58417575891	30918.933132178125	30033.770197158967	 
29854.31762187185	30663.956633348873	30008.124745255252	 
29789.166530304043	30430.89219234377	29962.89193561085	 
29736.087437658232	30281.140794990035	29896.657511709513	 
29669.92819148689	30438.909691787994	29846.199074649092	 
29609.831682638585	30300.621703112476	29758.18296702973	 
29563.459415526067	30465.13899278608	29726.675396196013	 
29520.969885290968	30129.926168099533	29688.386575224296	 
29420.881656955833	30277.132522461186	29666.747114943388	 
29395.21893623771	30068.799016793815	29564.30839988065	 
29366.606151842836	30256.189465008458	29567.110246457927	 
29340.319791681406	30002.057642950775	29526.11559238022	 
29315.710451110557	29892.433416456734	29463.46921931709	 
29301.712050689934	30167.989179300686	29431.9024068472	 
29256.683855235508	30262.93521999177	29433.234089874346	 
29224.6182258267	29922.964164454625	29355.226386259565	 
29210.05856319588	30066.132421166705	29389.893154299563	 
29146.675806053874	29888.83097542152	29340.234317503633	 
29127.28341079915	29648.223589418474	29246.813307808192	 
29023.49361817316	30117.880957086672	29238.05245259692	 
28944.312042989783	29781.406251185763	29154.241498136744	 
28923.005088457623	29683.81807974765	29083.324460087715	 
28899.53881767382	29738.020277289073	29043.581906825675	 
28821.340143365553	29539.110658358466	29009.461657532727	 
28713.236395944332	29459.35670798008	28940.640885183122	 
28690.004426651503	29460.846029643064	28830.87472379645	 
28648.095649521852	29392.463300434014	28809.24295243764	 
28617.395967448134	29454.42332696749	28778.73668813447	 
28602.380523159987	29207.441955654867	28729.95939414288	 
28572.473576179866	29432.540398885823	28750.954333576952	 
28514.034154624544	29226.267016363192	28708.845355012367	 
28416.005886409377	29217.80815312837	28627.411891176776	 
28375.47190073617	29151.874138746643	28522.194246120886	 
28340.542567873494	29102.671918838307	28518.075605577054	 
28327.16445052243	29087.6031884262	28466.02905821403	 
28240.360683828367	28931.539764366284	28452.421127031626	 
28199.88675837244	29172.118260504856	28369.10160228765	 
28132.83827579426	28915.60255485138	28328.403762430164	 
28049.851478110762	28794.069146889382	28264.305770276726	 
28016.86039161792	28710.9887660245	28187.831858022022	 
28000.44783048954	28874.110226363955	28162.81557367522	 
27965.192900355025	28665.839009315256	28141.439620945748	 
27951.387125685877	28930.160913514002	28133.34104411269	 
27925.788491260635	28695.85814335505	28113.988897908468	 
27880.830606276708	28523.604885927845	28030.91636506119	 
27849.95342794616	28813.59414551037	27982.171684941615	 
27771.34933635828	28596.619482555037	27976.613265676726	 
27729.719615393456	28505.51682600425	27851.564105778147	 
27725.21370757998	28471.06139365449	27855.291575231313	 
27681.879351063173	28486.72546894841	27873.518194051023	 
27673.002379111273	28335.036665521686	27832.754920004114	 
27650.471490262888	28381.048316362143	27796.308937700618	 
27616.0557547864	28326.684784437126	27743.801431776403	 
27598.698624717243	28263.915788606642	27707.596527731945	 
27564.648297616244	28316.489473072907	27736.677195807137	 
27445.794497201703	28211.562603382474	27689.23135151934	 
27378.846626260634	28105.737949663297	27580.42214582326	 
27338.681403306637	28055.89430922979	27495.37415562806	 
27328.833201829002	27979.051061657843	27458.75198451972	 
27301.57714491051	28085.739258404275	27469.301194370193	 
27282.695641600443	28140.422203542268	27449.2501147339	 
27242.999289354313	27993.798314433723	27420.423636069805	 
27215.774511228825	28168.431717439595	27393.66533636737	 
27183.37577231276	27820.941580924555	27337.518840986257	 
27134.850260644067	28163.144136929342	27310.75394028397	 
27121.258747504216	27993.83491874993	27277.12453477752	 
27070.675757131048	28044.473213820747	27236.25950486783	 
27051.189403384826	27681.344700457692	27183.140806236053	 
27015.47951949784	28038.311937331655	27206.549098964664	 
26993.211948114957	27745.618162572624	27166.673986930404	 
26882.29897293274	27742.01211030993	27143.81852099532	 
26834.63790795478	27708.67582643402	26992.651045177354	 
26820.978604745378	27471.507585789095	26970.54895636702	 
26782.869455956225	27583.417370230316	26954.058314467453	 
26748.62807695641	27586.18738788123	26915.86000989672	 
26743.85227849239	27506.98955712387	26898.09248301168	 
26722.170167430733	27579.523054059613	26868.12346843069	 
26677.878396758748	27504.38688900132	26848.832658154286	 
26607.342082502226	27511.730615843055	26786.633004987376	 
26578.203427591157	27313.46644759493	26736.324349560313	 
26511.528376696697	27439.913342569358	26704.547916971427	 
26487.342486412686	27399.85137876112	26678.018984753373	 
26449.124544880127	27429.990377514318	26610.65446574046	 
26411.854692219924	27059.22468630154	26570.922292046915	 
26391.963425497855	26986.05048045112	26546.433730097873	 
26348.80461239148	27143.951649600785	26533.90806895922	 
26268.10427907579	27084.316948215255	26473.5327074197	 
26257.918820039315	26999.289922977667	26418.21671620796	 
26257.23010359882	27128.05065406645	26420.8244030348	 
26247.50424398818	27058.260360614957	26413.37049342606	 
26221.07290103185	27145.60288304113	26375.910070739672	 
26176.02325893176	26921.32960616748	26360.00942693579	 
26067.06748403462	27070.03182809609	26316.87860846872	 
26051.80630635425	26958.441915921245	26225.00235729957	 
26033.633221646942	26726.906118698862	26200.21734029863	 
26022.1103181398	26839.630679427868	26138.803390304056	 
25975.89321569061	26735.714285151833	26169.02691586981	 
25879.52196579047	26644.866985579345	26124.62112282709	 
25867.18038365939	26864.34397630741	26007.730754910026	 
25818.25434354708	26669.12392009202	26018.515506765973	 
25799.80187123743	26530.959234904523	25946.486404137522	 
25798.801571104792	26713.12979868309	25962.2993076828	 
25780.337799965597	26728.909915058517	25947.97787473175	 
25757.499394546394	26568.319616504083	25911.857966085303	 
25733.172067298718	26446.116438671772	25876.269208550337	 
25724.150975552762	26531.508373583947	25844.759856164786	 
25704.291473387722	26311.60636247471	25847.39155483529	 
25681.923793571455	26567.372598453316	25848.312274668348	 
25655.291389875285	26359.47301766498	25852.727395468246	 
25615.462806521697	26462.63696567906	25805.68786295277	 
25572.345333177378	26497.219414338713	25770.619077905194	 
25532.479342183997	26296.42665622818	25717.84384393732	 
25510.910420084005	26217.87185084748	25660.018518599394	 
25489.07932860629	26301.735309207343	25633.599505572398	 
25457.84665860015	26195.78772811385	25622.57182603828	 
25438.887145850225	26395.073009737735	25602.38352715556	 
25422.786199372473	26298.24914585009	25586.862748481195	 
25347.077480635082	26124.545550983355	25567.49852895003	 
25330.793319051485	26116.98540453347	25484.08370779114	 
25325.174578518963	25977.686452532744	25490.432775733374	 
25263.918614542825	26182.192317640405	25463.06082909592	 
25241.10805670501	26108.650843949985	25422.33386782826	 
25204.585986973616	25961.322283877067	25382.403855954763	 
25196.42781287965	25860.4960930247	25355.58163127158	 
25170.226769764948	25981.503336731083	25351.293355278303	 
25155.007891533183	25796.511057819025	25297.90408976075	 
25115.254172151435	25827.749858798823	25277.84536494072	 
25074.553246887164	25926.733392615908	25250.72537245021	 
25004.7327387087	25711.671237841703	25232.838322447096	 
24971.560509182003	25768.8791625792	25143.562567812227	 
24962.865302194114	25546.6220551287	25117.29255376094	 
24936.744796290503	25725.821346844794	25117.67949975028	 
24871.02472630433	25810.903268592778	25090.536356549637	 
24861.41924434582	25562.887098086456	25003.900007101824	 
24839.178448629093	25525.20455110861	24995.28929009952	 
24801.76328689179	25534.74017063279	24970.675695340684	 
24783.098552476262	25754.066268753733	24921.234849599503	 
24774.000014734687	25560.725467959117	24925.928000175947	 
24766.629690685844	25642.369024453703	24912.852459937123	 
24732.59597585146	25414.69526211574	24907.409134377536	 
24724.48586939977	25406.130852797018	24879.662592579632	 
24700.410309928782	25379.89747253615	24844.81114276208	 
24686.77206877174	25267.748062273968	24844.850381319073	 
24639.359551864807	25685.494477766733	24800.445507237626	 
24614.359706287745	25458.755315635262	24776.697757929745	 
24594.997335658103	25399.26057614645	24765.226424042998	 
24578.345779380077	25270.686269612364	24734.487781659685	 
24536.327625696027	25329.961200220572	24684.412386709	 
24480.7550817372	25113.61816553124	24664.88198838652	 
24417.595820239883	25189.358792894796	24627.688549893843	 
24399.965963343933	25096.18635201068	24572.486214600423	 
24390.42222370257	25159.681095881955	24537.63684494486	 
24369.048262975037	25004.174289973107	24533.062520715328	 
24356.87134731284	25122.700181735374	24531.730387047046	 
24312.489139689806	25275.826108441495	24495.35175422067	 
24281.361597629806	25184.20675791216	24435.43292008199	 
24235.501220118345	24921.65905140025	24392.746200689417	 
24215.28073844613	25033.65204874885	24399.01326727919	 
24213.028933045105	24759.045296620905	24337.971217152426	 
24203.576763461333	25036.922671252993	24392.455814261768	 
24194.609727569336	24948.348937528674	24335.759102236578	 
24184.33202075114	24904.292260020597	24305.008594604406	 
24173.77606782043	24964.19100891534	24334.7047851794	 
24140.779417364618	24751.628524021973	24314.67463006437	 
24126.315765157622	24760.141104468516	24272.627407528096	 
24126.315765157622	24759.257236372872	24277.438808346637	 
24075.29267319974	24853.648312316072	24273.511899809513	 
24075.04365685241	24788.080700356568	24202.28502509206	 
24035.42025980514	24899.57260591285	24234.10016530057	 
24007.821960328296	24893.54604237541	24196.472959912586	 
23999.416773539902	24841.136376268012	24166.47617049497	 
23977.431256836888	24723.793162996666	24145.125609441082	 
23974.189040876645	24812.051805000196	24119.460624201816	 
23891.723951492855	24824.657175957607	24111.61655777427	 
23885.866010352802	24608.049972552173	24070.130376196583	 
23877.365458494503	24601.690917971555	24020.30424718307	 
23864.564725330496	24631.60380588604	24048.850327145607	 
23840.97115818895	24536.12041889784	24009.693019175873	 
23838.37799979606	24507.6802877911	23985.274440678935	 
23829.25684932283	24723.772672380273	23992.65801772652	 
23763.630873589125	24549.32190713146	23964.655500277524	 
23743.28894409025	24435.957677997914	23910.49635241646	 
23712.31031359216	24883.081805510803	23888.353422128595	 
23689.727476266744	24488.7955566981	23854.16835918272	 
23676.26015452319	24390.484769983726	23836.530893636616	 
23666.092930024908	24261.352920791516	23817.41351575847	 
23653.917479428783	24402.775031481186	23801.2654529878	 
23647.994410362233	24456.1369412828	23825.243265837868	 
23640.725391340013	24326.696225260144	23799.43008051971	 
23598.269412902635	24482.5096987694	23759.403125417903	 
23597.830444457024	24318.1274026542	23752.46004032811	 
23597.830444457024	24403.735485299556	23739.957849534472	 
23537.168533847715	24386.92341884573	23753.87770143583	 
23520.795847271704	24380.20663775654	23694.36533837232	 
23509.40390491206	24263.570281988093	23669.641224111907	 
23499.235617448125	24204.819011937423	23633.291644757002	 
23481.32285262059	24288.91709857409	23650.5128179275	 
23448.734132390233	24509.734807334513	23632.078898097043	 
23422.703751256857	24063.719436384992	23606.643619062997	 
23396.52802830899	24369.112244479038	23591.127352051037	 
23382.938828615763	24145.041202880944	23542.365906426065	 
23356.47268195854	24270.248257087937	23545.424105498994	 
23351.197253572227	24119.85923429316	23498.793615873266	 
23305.941420891693	24119.714811192833	23472.80335767281	 
23240.482871333483	24007.179678887358	23444.36490044754	 
23212.4200386292	23920.755589784265	23350.821971985824	 
23185.743607269127	24057.60292430279	23346.97503382235	 
23155.67096633975	23962.228850375064	23309.365551664083	 
23120.54660495142	24074.35859552309	23335.84404737434	 
23120.54660495142	23762.36430092767	23252.1816145196	 
23100.663190463627	24062.302848777857	23322.023010864516	 
23100.052383965296	24070.847402001116	23258.895508201862	 
23010.38977133961	23967.775663358247	23256.689724091542	 
23001.10685546484	23673.05561592589	23147.49703816888	 
22966.472582716277	23923.916504450972	23130.708206215364	 
22957.323867318577	23769.802450479485	23150.358507096073	 
22949.900629689124	23859.579457646974	23117.62236129454	 
22941.008093692868	23738.91175461649	23130.042454333365	 
22895.6678306399	23910.24875005276	23113.86878445408	 
22893.13052500186	23783.706910337558	23032.553280904125	 
22890.403659752817	23509.29628439059	23021.29582254209	 
22872.277876850232	23921.22979668655	23061.06043322433	 
22849.530132864413	23852.205704048036	23030.303350462178	 
22824.496351271126	23685.230641988772	22994.42955462913	 
22815.087428137853	23496.77945192153	22932.824489216422	 
22778.133605933064	23578.975465407748	22932.373229110137	 
22767.777883088685	23394.881298310447	22900.561029562177	 
22747.11529868896	23577.520645132063	22910.523689045654	 
22743.722218541578	23690.546087046623	22940.83335793043	 
22724.71541743862	23463.57634531003	22872.40500492204	 
22701.10905416353	23523.609566985117	22896.326287001524	 
22689.08924316645	23304.598094651028	22842.14661937063	 
22669.603755256998	23428.422953964277	22825.661635147662	 
22633.027616899883	23701.244919921483	22847.753968543053	 
22627.098397974267	23436.368803032194	22766.588920672628	 
22596.093450466917	23573.332978295442	22800.803214408512	 
22596.093450466917	23338.05913759773	22754.73625752679	 
22573.364758093794	23351.057417462383	22728.2074276299	 
22571.603386561943	23405.378522725092	22729.408569313502	 
22567.706072949735	23350.90943831462	22742.847892393824	 
22558.16503048397	23387.069136710437	22778.970556371798	 
22548.684250764272	23375.62688798145	22718.74410038894	 
22544.432999267643	23499.628738127893	22704.22248543093	 
22542.19038492901	23211.9791242857	22683.02119616853	 
22527.482632979	23368.632915211732	22684.805379060843	 
22501.81414433095	23318.917827086898	22649.326461099703	 
22498.884535887697	23239.05672624734	22648.458148909285	 
22464.952283933206	23316.69076075121	22686.476081159104	 
22412.470788267223	23437.784378832937	22639.634106005706	 
22384.912505039672	23306.430559213142	22561.138010278108	 
22384.695524227933	23307.655514892616	22547.54785001624	 
22365.686731613725	23298.616661681386	22528.397349454477	 
22338.064274809294	23217.44716387559	22494.876079434696	 
22315.920908835575	23177.430913864708	22484.385584141743	 
22311.367062603425	23087.371241697158	22439.12296023522	 
22306.820281819673	23272.874446966693	22506.945478708287	 
22285.801969494045	23377.8721084908	22462.21218870257	 
22285.41886828355	23189.404080369513	22459.30821827214	 
22237.750878473915	23087.059532195497	22462.459195671316	 
22214.11466129825	23167.87446287662	22402.210119457533	 
22210.328556646768	23082.431986465654	22429.892807747587	 
