src/Evolutionary/TSP/gr666.tsp
Mutation swap, OX
Tournament
pop_size 100
gen 1000
px 0.7
pm 0.1
tour_size 5
best	 worst	 average
55893.78671180721	60554.45480234777	58302.4461730631	 
55766.74414364156	56115.246656558775	55900.24416172695	 
55753.38906788377	55962.002440207	55772.779684752684	 
55593.032426063015	56240.51375654346	55757.309327490555	 
55427.52564371211	55749.29363370577	55589.501284671926	 
55349.36365889159	55737.96562827654	55431.997732991345	 
55117.83304632962	55518.431073261316	55352.35364930468	 
54821.3275687605	55252.13957450191	55117.25348928874	 
54707.3918269139	55106.12080115714	54821.18413519095	 
54492.74130812832	54779.79546489928	54702.015594907876	 
54357.85550831537	54727.595190638756	54491.676741241085	 
54181.41577070155	54529.12465886531	54355.72013181314	 
53908.44757062199	54316.17687199184	54180.77288284423	 
53742.82474477674	54236.89633607564	53913.18274720822	 
53572.7234272114	53853.721871954825	53741.75756727718	 
53435.644678029406	53927.58092175515	53579.20811090205	 
53258.73650884678	53560.77399687757	53435.42779678858	 
53217.3973778114	53443.43069607805	53263.094253611605	 
53076.563787175895	53352.791359365074	53213.75695991846	 
53013.42149068329	53268.40603042078	53080.01307240987	 
52882.486633323104	53448.37316733323	53018.824436686446	 
52454.818203887	53193.97097499793	52880.11891580318	 
52418.232719529806	52545.62114758734	52455.66969156712	 
52313.33493825205	52510.94275054871	52417.89739303014	 
52311.54665813883	52458.44722355698	52317.41479525533	 
52157.12616542685	52520.720083825465	52315.76844153649	 
51799.02249796439	52358.55552418576	52158.163595891216	 
51462.65087654867	52061.09757086723	51804.83995782394	 
51453.10393030085	51709.170650518245	51469.16364006795	 
51305.844678235386	51787.61729293492	51461.324685882886	 
51120.34942998499	51589.708285790344	51314.18380740315	 
50943.36329399015	51449.525159207755	51126.97009896947	 
50910.0976982881	51352.97651433107	50960.965748641545	 
50795.24053332591	51217.21761007198	50914.36713698471	 
50772.17308441122	51022.27374562251	50799.355323156364	 
50630.93740142861	51094.64224617805	50779.13341191947	 
50567.584624882336	50998.22212828121	50637.12133694226	 
50303.34621908579	50791.33570447818	50567.66789765008	 
50275.37167136541	50530.30815719518	50308.44563241941	 
50074.53929453781	50447.27676341376	50275.117376413575	 
49996.82482937123	50339.92434510502	50081.8892931853	 
49608.46242318536	50331.37999835159	50002.07205831872	 
49587.561258045804	50071.53822474609	49624.77155788147	 
49402.12588704687	49839.52123691074	49589.01244688835	 
49342.56327049726	49637.40731256486	49405.22219021391	 
49260.11996970373	49817.006746798	49350.10510255726	 
49143.03992240087	49552.806080738286	49267.73452324103	 
49024.819369467885	49605.529999107646	49151.31389020167	 
48926.37493291643	49145.92311506498	49028.317935419174	 
48809.21725559841	49042.02501870032	48925.94240827602	 
48774.67297744373	49096.91776636655	48817.14490181521	 
48766.59954064056	49041.684015636776	48778.10743988717	 
48668.64962376661	48928.60224925069	48768.62884103938	 
48567.593853870676	49069.94503306535	48680.89624258294	 
48480.249810915375	48633.13042914021	48567.82595316423	 
48209.38853545356	48739.01923752046	48482.23360314204	 
48049.76886729048	48558.76833722927	48223.10397047124	 
47877.9631582824	48331.51613638035	48053.89443442262	 
47710.36078520893	48163.677896716836	47883.91864837403	 
47701.15149791621	47849.98351466198	47713.9560843904	 
47595.54836251995	48383.13480182428	47715.458723204414	 
47568.41874126666	47918.763742733405	47599.66246854302	 
47463.08922187624	47676.9667628458	47569.03407643564	 
47399.204216414706	47965.077308338805	47472.73607933714	 
47387.06570410881	47682.10641036369	47414.49102750107	 
47325.61979440685	47692.21625228487	47399.398131549155	 
47246.64949512023	47595.84081825715	47331.167886430805	 
47209.07546369143	47605.39605090215	47256.583163602045	 
47208.59338298335	47420.486159480664	47214.201239001515	 
46905.02011851359	47440.719854922274	47211.650490807275	 
46750.64032216751	47193.36324865196	46904.317877992435	 
46531.54697679763	47187.680416023126	46765.94053923932	 
46531.54697679763	46943.764438778315	46541.658798160934	 
46435.3094168537	46910.656188906636	46542.408362774506	 
46357.14758760612	46675.97508783587	46447.63143101621	 
46350.09368680355	46479.86457274869	46360.698863593	 
46261.83103744596	46508.539331529304	46350.17542496612	 
46202.69345204159	46586.10688122924	46268.88144213152	 
46195.646412209084	46360.50113378159	46206.28347392725	 
46127.07912718142	46548.40183628703	46204.92050416153	 
45947.51915816514	46642.22572077021	46134.98457427502	 
45573.49456655411	46053.998015618214	45946.50097619706	 
45490.7171603377	45880.04023756496	45585.08627169367	 
