src/Evolutionary/TSP/gr666.tsp
Mutation swap, OX
Tournament
pop_size 1000
gen 1000
px 0.7
pm 0.7
tour_size 5
best	 worst	 average
55378.65083230227	62616.56300917942	58451.50244562582	 
54873.40338035258	55952.332009717175	55386.59162308666	 
54360.845605394716	55395.32337061684	54887.59340288356	 
53968.139819473516	55000.91145801518	54378.53362883441	 
53518.14670824612	54597.088389413584	53986.466088303416	 
53048.0907266483	54206.200017198615	53540.06420878402	 
52656.176026171364	53611.97280583343	53071.850835632096	 
52281.376480891326	53335.66302140295	52684.23731416997	 
51932.371884855835	52996.20413204262	52306.6056748169	 
51548.33721102106	52593.291996156935	51959.618061688074	 
51216.166313654416	52153.11309914783	51578.7497725906	 
50862.99785082095	51882.85423832453	51247.98781068564	 
50576.967376637236	51484.67402404329	50899.24876197746	 
50280.1087127154	51186.87438312117	50609.287648458965	 
49962.901576969896	50973.27864424803	50315.31588209554	 
49610.09331085077	50667.86361437302	49995.90698532381	 
49230.828348846706	50356.39219500425	49644.42929261317	 
48860.86298028881	50083.49362797675	49267.60477589997	 
48517.363543473766	49538.39621796164	48902.509973882276	 
48207.282657162505	49338.903449861325	48557.245693156525	 
47825.296816400485	48887.37176436727	48251.50821883733	 
47424.786395401934	48468.98974067328	47860.05384006524	 
47151.0887176374	48179.88917014335	47467.69336648722	 
46858.82030585287	47812.00882893849	47195.47225835077	 
46458.994488396704	47439.44093389324	46898.58103676434	 
46149.300403833324	47305.472401991094	46508.26476091477	 
45809.50472114982	46759.33051338897	46207.35425439062	 
45393.3285789369	46701.70236059825	45861.51988447287	 
45004.89310994927	46289.13102112	45447.020374552296	 
44743.92173314913	45675.39122818862	45056.33930793131	 
44446.844064372825	45418.20295423258	44803.812418773094	 
44181.1856383539	45244.6485359419	44502.221464922455	 
43906.20450444619	44835.88629920004	44242.78308424178	 
43643.549850054216	44677.874337492125	43967.706029687564	 
43368.6596165419	44464.171852770356	43702.99316648262	 
43024.60918374849	44014.899687596044	43423.09888393701	 
42774.138745568256	43752.87810676848	43095.529738385405	 
42426.27090409282	43530.381374429824	42840.0787993304	 
42123.25769316983	43225.36719045958	42488.44055573421	 
41864.70436690006	42865.09551414096	42192.51622968734	 
41643.014862000375	42668.407026947956	41932.182711415975	 
41429.96747527016	42445.7161151456	41715.06593201515	 
41198.28517941784	42150.5281271696	41499.732682226226	 
40980.88143024425	41992.479044254935	41274.77952285286	 
40766.803338585254	41872.37349532385	41057.22362694362	 
40534.98931700647	41592.720897968415	40842.86326178457	 
40360.56875394878	41351.70132621641	40609.89976613759	 
40141.766303374694	41137.49576180713	40435.27805315703	 
39963.023731147325	40927.45033778209	40223.168268396876	 
39700.73061502064	40734.10738353681	40042.75346191428	 
39510.97860418699	40537.939311284186	39781.48768650381	 
39295.12328188441	40266.0813789284	39594.54438879277	 
39083.75725979886	40050.90306300162	39383.36894209305	 
38904.39846082626	39863.597056027465	39166.70546747101	 
38630.773503795004	39816.6962043036	38989.051701721604	 
38477.24360015583	39594.58231932572	38709.456111085914	 
38280.949350376846	39275.14705421984	38564.54571393141	 
38113.890265239745	39091.10054439235	38365.87292927466	 
37870.97728785532	38976.54451477431	38211.51007353843	 
37716.09539585424	38736.68590027004	37953.23912147516	 
37479.71895735214	38469.191471398764	37810.408758784884	 
37300.17791634672	38230.51533332583	37571.732330573286	 
37095.46713109139	38061.90602371183	37386.91458554897	 
36933.51331231104	37897.91853595677	37178.10890965648	 
36711.525436263604	37858.83660013158	37032.275067687784	 
36517.98536327886	37730.81360093735	36804.59282868026	 
36324.44937413178	37334.20406431019	36608.23464326437	 
36117.762823513454	37258.19647937917	36410.49720529381	 
35920.25978846692	37009.25488859305	36210.41738812664	 
35778.7067188477	36709.162496938705	36015.34889375317	 
35658.8604300383	36631.28631496414	35869.54463534918	 
35464.74959293464	36465.51040445183	35752.37465957411	 
35332.58747284736	36267.02557668563	35564.12813640854	 
35171.85234729394	36122.668300759324	35430.05201867084	 
35034.11487660885	36224.54332554363	35274.812712861116	 
34950.905767703174	36003.369432732106	35136.59507222123	 
34820.480655811705	35700.49447387681	35056.273098262594	 
34694.581695611225	35736.266820935336	34915.56475949609	 
34561.272142807655	35786.888906751316	34794.53952878717	 
34375.965094314495	35480.48114819334	34657.862137823446	 
34256.863662414435	35233.75727396841	34480.10365793243	 
34132.14921124707	35146.514018085916	34357.33675635841	 
33967.97736505945	35026.644656180644	34232.059551766906	 
