src/Evolutionary/TSP/gr666.tsp
Mutation swap, OX
Tournament
pop_size 100
gen 1000
px 0.7
pm 0.7
tour_size 50
best	 worst	 average
56123.907958544885	60917.885980049934	58481.80280445938	 
55670.741662319684	56706.37483244102	56138.08994857755	 
55112.66776188187	56048.532506137984	55671.81788196278	 
54703.00474981755	55497.2910009167	55139.894252148835	 
54513.763264960995	54961.25600028426	54725.60015226081	 
54352.31448051824	54873.09033244795	54523.57653500426	 
53915.09987829401	54824.99346835169	54358.68082776945	 
53682.80756393416	54266.867461035465	53916.91016272844	 
53216.94282085761	54097.37298258546	53697.547494193066	 
52970.2189982823	53706.87143718278	53262.87332657441	 
52794.56373307733	53400.428241833644	52991.533469312366	 
52472.505362834054	53103.51494017613	52803.71675656371	 
52162.359209284296	52981.06242258113	52502.68035812343	 
51733.641984054906	52807.21026873893	52186.94321742613	 
51373.71710178539	52289.69287894931	51736.97787882766	 
51076.85304650128	51674.135546124155	51405.32259846064	 
50851.606621140614	51510.52750659651	51096.005550366	 
50523.32059184806	51263.907057771255	50874.25660078657	 
50323.79654392674	50904.82594535779	50565.17260935069	 
50055.87050655043	51062.33046187811	50378.37415920562	 
49839.158139840205	50329.334470679816	50085.09637399079	 
49684.6332978073	50263.70604692255	49865.066779781955	 
49353.42510862437	50202.110252121456	49715.42496464243	 
49236.9814974719	49736.65705085839	49403.49319064674	 
48978.2299451591	49701.56621788692	49280.63943349241	 
48819.155504880946	49432.86565944389	49037.360058838	 
48682.63564655021	49235.85130001646	48867.129389566835	 
48558.97799007348	49094.96564045178	48716.04969457606	 
48398.572673748895	49023.22202484075	48611.264662791466	 
48257.89415352747	48870.46534367963	48450.793498415034	 
48040.64253277316	48659.3114168573	48302.79204351935	 
47846.92187847956	48519.371507602795	48078.88554886665	 
47543.97580829217	48434.81070944928	47876.592070812294	 
47349.05134414798	48153.10475019452	47616.6779280697	 
47144.22508760151	47813.37453651694	47393.7476208244	 
46823.68781736165	47599.45678433639	47187.56369570074	 
46694.356662243714	47220.49064753885	46868.43711025338	 
46400.46963704596	47198.687806085414	46732.952823163265	 
46254.727126835234	47166.13527498019	46458.1037258009	 
46024.50716830314	46619.9205743544	46295.008605148316	 
45745.274011380214	46466.62101733734	46058.02365296945	 
45499.94377535072	46377.099401710526	45800.96661309682	 
45340.213832244335	45888.041130686455	45543.43174334904	 
45202.03820078732	46064.26839671241	45405.93923892419	 
45059.03456788062	45862.94129669775	45263.97747023529	 
44872.70480913507	45484.044087271905	45102.620703435794	 
44607.50656344886	45542.2849294841	44918.89484200401	 
44424.91449010301	45034.412276601535	44663.518564876074	 
44181.31176381279	45004.831272011	44472.06226873401	 
43938.05996692716	44607.89668064421	44224.253011461326	 
43786.2237415657	44340.31592037274	43996.739682546606	 
43620.47855122981	44518.377084382635	43840.43887562628	 
43420.85474918956	44280.27392664143	43670.578718465775	 
43168.7750125325	43894.25443405741	43469.65059071203	 
43029.93423776628	43790.00890716722	43238.50233839406	 
42821.69255939634	43591.541892051784	43088.93715607794	 
42524.03633415165	43214.85878346872	42899.52433241744	 
42424.93473892736	43000.193793595725	42587.499132295074	 
42292.178862200846	43030.55035615871	42494.43759771629	 
42212.20872119359	42974.00076356999	42364.3048552485	 
42053.49985781961	42747.78972999177	42270.609401174785	 
41771.260694322176	42459.70319422234	42130.4567981049	 
41563.27534599605	42211.870597485264	41820.68964363983	 
41411.112720430654	42184.68068911831	41628.72460050981	 
41335.592189822666	42000.95220559958	41495.59117041884	 
41134.95819106672	42027.71200285028	41415.659152150794	 
41037.92392627269	41724.41664176241	41180.85487089277	 
40892.89007497627	41439.49633832027	41094.715861484576	 
40655.46190553375	41451.92693112939	40954.63217925532	 
40503.26815620765	41284.348042762926	40733.83256193827	 
40301.55430863757	41091.32503371916	40590.56003244928	 
40193.60529061059	41051.341688346016	40379.62502194955	 
39986.10137028569	40786.706469773955	40282.29250035617	 
39865.25791537638	40496.70536919232	40049.24311393166	 
39773.76263661092	40519.89574111957	39965.41743397402	 
39605.06248143634	40420.98732847528	39849.149212683275	 
39468.66038950905	40295.10649036507	39673.907082331956	 
39374.55821453921	40016.6022793045	39540.24231196273	 
39192.85153883631	39791.16707754512	39464.25060798891	 
39111.52862467573	39568.761173090454	39260.05964702063	 
38944.03121861866	39752.43036634478	39187.37824765865	 
38808.61202562793	39604.52691408787	39037.66059274544	 
38645.78790127788	39445.528834357414	38897.54593812447	 
38552.52621285158	39297.10002395565	38731.877879913925	 
38454.148486415615	39303.576954972064	38620.76500151578	 
38392.59052608704	39079.60704901891	38548.261477175554	 
38312.9384464655	39053.57347824539	38481.78484330358	 
38161.697436754024	38810.63076970201	38390.43031028339	 
38039.63592571068	38600.69130872241	38248.43084048469	 
37882.96872535393	38654.778407320686	38110.03111096584	 
37737.023334399564	38576.77633064988	37974.28411655686	 
37549.735171502354	38468.40983612307	37828.56904044756	 
37439.23258886032	38237.41815056068	37631.96380468697	 
37369.47287300903	38000.903332664544	37524.76214569936	 
37267.30322208877	37970.45849853594	37430.006668750575	 
37135.74046251156	37911.998302419845	37354.16530159742	 
36999.725401592295	37715.05904254899	37213.54105675093	 
36928.41173600235	37644.09038847164	37086.53442169253	 
36804.24890891118	37659.41511116133	37026.01531311707	 
36688.4739813371	37298.10138955666	36903.27624865622	 
36500.060660288116	37383.34183501134	36791.0466557015	 
36397.59105205467	37068.378928153914	36612.422915718795	 
36250.41060780423	36947.38025448963	36486.17301537192	 
36156.26200563185	37028.31928527207	36364.209050487814	 
36120.31245558193	36841.31968383748	36267.70942887114	 
36079.71122099012	36618.93143838994	36245.957511366134	 
35869.02200638131	36767.37015769492	36153.91992986508	 
35741.82911494144	36445.97866321351	35945.88814902909	 
35638.73468407631	36316.05042552221	35847.823666486926	 
35524.87931756426	36232.72456787356	35712.96545360524	 
35493.440057398824	36325.50315338567	35646.27455745788	 
35417.70165802873	35870.00380433312	35559.47335848384	 
35313.961706135444	35897.648840293696	35510.46769497036	 
35167.900475365044	35899.62374623116	35413.76514672933	 
35029.803451489846	35817.338942989416	35251.892283514964	 
34960.20752725137	35514.84437964386	35117.47433528209	 
34874.23998458529	35493.801357713375	35047.57971079728	 
34781.97751357886	35578.010485423496	34987.899360523435	 
34669.46597939178	35391.18762139082	34871.74125125393	 
34612.2421915177	35254.51648140459	34767.90062521808	 
34550.03574877602	35270.12735703303	34724.18388949601	 
34411.07230130689	35283.9583300381	34631.99874820017	 
34303.821737605795	35068.43427298034	34501.692399228334	 
34252.659491008424	34999.80847831663	34416.32204085081	 
34178.619381866476	34923.59654608236	34385.934079089195	 
34033.232516540455	34836.99387615206	34281.26024855824	 
33954.55226604242	34520.2839338082	34100.879775411464	 
33748.87265909912	34716.13222953147	34054.36759948031	 
33680.20776640457	34321.70096572834	33846.24487419801	 
33604.160836118885	34270.641197477504	33786.73220853512	 
33538.05325112748	34375.18742449278	33705.920950297375	 
33481.056091814586	34024.50601632634	33637.655372707464	 
33412.787931746556	34306.27148622461	33590.5695281194	 
33364.82208725494	34145.1789543869	33516.88511389362	 
33250.35553042153	34094.56038070734	33458.4466845655	 
33087.13227507809	33875.603600426526	33350.449185753976	 
33022.37914348471	33778.277358086576	33191.204895672636	 
32956.94670795747	33716.951836048596	33127.635587415716	 
32879.34757624459	33575.375385282234	33067.47713213029	 
32730.930642215906	33614.26866334491	32990.559775141825	 
32662.631113476975	33577.93150242378	32845.758189467226	 
32596.639405712558	33299.72575619429	32774.00010339248	 
32558.908310526323	33105.04292617439	32680.00012839576	 
32506.336820159227	33277.38278813042	32667.049714421864	 
32431.281076474395	33204.53054772953	32623.201231548286	 
32266.52408894258	33124.36941843774	32534.076990223923	 
32211.43615666189	33052.10158644794	32359.870038086363	 
32155.487123016723	32939.31930332648	32302.812280189795	 
32096.79747347769	32826.95546868432	32246.507144758663	 
32012.61018923334	32706.30969992719	32196.96423899356	 
31682.875743553468	32542.570454027416	32088.381105765595	 
31377.256353646888	32348.967864256156	31809.795627510874	 
31328.204379910716	32124.908705193237	31507.918482371973	 
31271.79627287206	32029.230173699645	31464.406854322828	 
31245.589669032546	32079.346264200958	31440.41182861688	 
31158.108785496923	31954.355663500362	31369.426831702996	 
31068.806494202734	31750.98900734638	31279.375913831358	 
30956.42901389605	31867.458496460127	31167.631315667433	 
30903.295305939097	31667.52214157199	31075.939552173266	 
30852.346236017802	31499.478130855383	31028.12820599391	 
30821.85301570897	31503.22310966484	30976.61912579653	 
30774.6708319649	31520.274773616256	30943.726195414773	 
30733.281422850272	31605.43022691257	30917.560500620388	 
30653.375679250228	31594.27697456317	30863.897655090863	 
30622.30666173493	31613.83567970589	30772.713468864247	 
30569.14093042414	31322.47766856998	30717.117127587204	 
30521.87243055632	31398.729553307065	30688.841621154388	 
30462.77676149143	31164.16397721781	30622.549971222117	 
30414.851214897484	31315.681080869286	30561.68379061577	 
30366.614141384794	31026.747353414223	30551.620704840614	 
30331.819403267	31031.36204356136	30500.081493354883	 
30254.616860364855	31121.03972150077	30451.59314352201	 
30220.456972258402	30881.372811125744	30366.662785668203	 
30167.425768174176	31120.059963190044	30376.08097570924	 
30112.136583459673	30907.241236525402	30280.931174390294	 
30056.364317322492	30907.860616304108	30243.576620360298	 
30012.92390957924	30913.527727942015	30166.966809036894	 
29977.930514442287	30701.141541778896	30122.303837868007	 
29940.046707874164	30711.636112985292	30117.999812452155	 
29927.85157899078	30593.9924205121	30059.04494926929	 
29800.31446684018	30543.247050533224	30046.05702109645	 
29741.813905162893	30431.464755402627	29904.87831950454	 
29667.98997039445	30582.690080360873	29857.820785922748	 
29549.0776820325	30354.84803174771	29777.6077008655	 
29498.096559288857	30104.85306971992	29662.030712475374	 
29468.740969864102	30172.5716655147	29609.381414742944	 
29445.207011305552	30046.089382164697	29588.13982784454	 
29399.663486225247	30258.58208406007	29560.59273910085	 
29325.476022193605	29935.340263227543	29535.172290694838	 
29247.054176097798	30039.6379517906	29445.336886238503	 
29152.758805218346	29834.991623736667	29354.34731099635	 
28861.369016355955	29767.676630537277	29263.37065628228	 
28814.65138249736	29525.525537055277	28983.50137541081	 
28769.01533333215	29591.170641486056	28946.123665220555	 
28744.191754810487	29612.323780368377	28893.2614207905	 
28685.0928711392	29525.06986716647	28871.69628216084	 
28664.751524487332	29291.490704847016	28775.04944860744	 
28631.28529491079	29364.44493224906	28778.931076537287	 
28596.00470651158	29418.827503682438	28789.201822238207	 
28526.2397509606	29205.998463941625	28720.136505818788	 
28453.51740985398	29138.252038148537	28641.953769764328	 
28413.80466022894	29042.895345864716	28590.553157364033	 
28368.48200674506	29015.686029614313	28567.336498235254	 
28329.35611110081	29086.350607784814	28499.14303495808	 
28309.06295899851	29018.129107362125	28455.307710530673	 
28256.04640434377	29060.78901745871	28408.545167975215	 
28225.65800903091	29090.13950811819	28411.60829613334	 
28179.001156768365	28832.883481526686	28351.52254853925	 
28136.86558813552	28908.9930231048	28309.018121509547	 
28091.380286839987	28897.868896673826	28282.328983628504	 
28012.919771261077	28818.25605256406	28239.46856155043	 
27941.167752381847	28678.29361687641	28123.79568677736	 
27904.51711358865	28519.35683428604	28044.568357152082	 
